GO Term	Fold Change	MEGAN	EggNOG	MetaGOmics	MPA	Prophane	Unipept
 	Percentile (%)	9.696	-	-	-	-	-
maltose-6'-phosphate glucosidase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	9.729	-	-	-	-	-
sulfite reductase (ferredoxin) activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	9.763	-	-	-	-	-
cobaltochelatase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	9.796	-	-	-	-	32.614
tRNA dimethylallyltransferase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	0.61 (2.81 / 1.49)
 	Percentile (%)	9.896	-	-	-	-	10.5
raffinose alpha-galactosidase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	1.14 (1 / -0.09)
 	Percentile (%)	9.93	-	-	-	-	5.825
exo-alpha-(2->3)-sialidase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	0.68 (5.25 / 2.91)
 	Percentile (%)	9.963	-	-	-	-	9.241
exo-alpha-(2->6)-sialidase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	0.68 (5.25 / 2.91)
 	Percentile (%)	9.997	-	-	-	-	9.277
exo-alpha-(2->8)-sialidase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	0.68 (5.25 / 2.91)
 	Percentile (%)	10.03	-	-	-	-	9.313
rRNA (adenine-C2-)-methyltransferase activity	FC (WS / NS)	1 (3 / 1)	1 (1 / 0)	-	-2.99 (0 / 6.92)	-	1.07 (3 / 0.91)
 	Percentile (%)	10.097	9.004	-	92.084	-	6.652
rRNA (uridine-C5-)-methyltransferase activity	FC (WS / NS)	1 (3 / 1)	2 (3 / 0)	1.93 (2.81 / 0)	-	-	-
 	Percentile (%)	10.13	1.672	4.968	-	-	-
methyl indole-3-acetate esterase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	10.264	-	-	-	-	-
methyl salicylate esterase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	10.298	-	-	-	-	-
methyl jasmonate esterase activity	FC (WS / NS)	1 (1 / 0)	-	-	-	-	-
 	Percentile (%)	10.331	-	-	-	-	-
lipid transporter activity	FC (WS / NS)	0.96 (5.98 / 2.58)	-0.16 (4.7 / 5.36)	-	-	-	0.4 (3.91 / 2.71)
 	Percentile (%)	10.465	63.649	-	-	-	14.887
tetraacyldisaccharide 4'-kinase activity	FC (WS / NS)	0.93 (2.81 / 1)	0.65 (2 / 0.91)	2.06 (3.17 / 0)	0.72 (4.46 / 2.32)	-0.16 (-7.79 / -8.58)	1.13 (3.17 / 0.91)
 	Percentile (%)	10.532	11.416	3.788	9.804	62.405	6.149
[formate-C-acetyltransferase]-activating enzyme activity	FC (WS / NS)	0.93 (4.7 / 2)	-	2.23 (3.7 / 0)	-	-	1.39 (4 / 0.91)
 	Percentile (%)	10.565	-	2.41	-	-	3.452
beta-glucosidase activity	FC (WS / NS)	0.89 (6.43 / 3)	-	-	-	-	1.88 (2.32 / -0.09)
 	Percentile (%)	10.665	-	-	-	-	1.402
rRNA (adenine-N6,N6-)-dimethyltransferase activity	FC (WS / NS)	0.86 (3.7 / 1.58)	0.84 (3.46 / 1.49)	0.9 (3.81 / 1.58)	-0.3 (-0.19 / 0)	-	-0.06 (4 / 4.23)
 	Percentile (%)	10.766	9.888	8.411	72.186	-	66.954
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity	FC (WS / NS)	0.86 (3.7 / 1.58)	-	0.9 (3.81 / 1.58)	-0.3 (-0.19 / 0)	-	0.78 (4 / 1.91)
 	Percentile (%)	10.799	-	8.46	74.219	-	8.163
galactosidase activity	FC (WS / NS)	0.85 (7.04 / 3.46)	-	-	-	-	0.51 (5.21 / 3.36)
 	Percentile (%)	10.832	-	-	-	-	12.01
diaminopimelate dehydrogenase activity	FC (WS / NS)	0.85 (5.46 / 2.58)	-	0.76 (5.75 / 3)	0.27 (8.52 / 6.92)	-0.25 (-8.83 / -10.28)	0.72 (5.73 / 3.08)
 	Percentile (%)	10.866	-	9.543	13.145	70.856	8.702
adenylate cyclase activity	FC (WS / NS)	0.84 (2.58 / 1)	-2.37 (0 / 4.15)	-	-	-	-0.42 (2.58 / 3.81)
 	Percentile (%)	10.966	93.145	-	-	-	84.286
sulfite reductase (NADPH) activity	FC (WS / NS)	0.84 (2.58 / 1)	1.58 (2 / 0)	-	-	-	-
 	Percentile (%)	11	3.487	-	-	-	-
cobalt ion transmembrane transporter activity	FC (WS / NS)	0.84 (2.58 / 1)	-	-	-	-	-0.38 (2 / 2.91)
 	Percentile (%)	11.067	-	-	-	-	83.387
dTDP-4-dehydrorhamnose 3,5-epimerase activity	FC (WS / NS)	0.83 (4.32 / 2)	-0.93 (0 / 0.91)	1.37 (4.17 / 1)	1.49 (1.81 / 0)	-	0.89 (4.39 / 1.91)
 	Percentile (%)	11.133	78.744	6.198	7.19	-	7.443
ion gated channel activity	FC (WS / NS)	0.83 (3.58 / 1.58)	-0.76 (1.58 / 3.36)	-	-	-	-
 	Percentile (%)	11.167	75.83	-	-	-	-
3-phosphoshikimate 1-carboxyvinyltransferase activity	FC (WS / NS)	0.83 (6.39 / 3.17)	-	-	-	-	0.46 (3 / 1.91)
 	Percentile (%)	11.2	-	-	-	-	13.125
dihydroxy-acid dehydratase activity	FC (WS / NS)	0.8 (6.74 / 3.46)	0.72 (6.41 / 3.49)	0.73 (6.61 / 3.58)	0.37 (11.68 / 8.81)	-	0.65 (6.83 / 3.99)
 	Percentile (%)	11.234	10.819	9.838	11.91	-	9.996
phosphogluconate dehydratase activity	FC (WS / NS)	0.8 (6.74 / 3.46)	-	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	11.267	-	-	-	-	30.097
alpha-amylase activity	FC (WS / NS)	0.79 (4.75 / 2.32)	1 (1 / 0)	0.4 (5.32 / 3.81)	-	-	2.14 (3 / -0.09)
 	Percentile (%)	11.334	7.261	14.117	-	-	0.719
protein serine/threonine phosphatase activity	FC (WS / NS)	0.79 (4.75 / 2.32)	-	-	-2.88 (0 / 6.34)	-	0.47 (4.86 / 3.23)
 	Percentile (%)	11.367	-	-	90.559	-	12.873
hydroxymethylbilane synthase activity	FC (WS / NS)	0.79 (3.46 / 1.58)	0.8 (3.32 / 1.49)	-	-3.14 (0 / 7.81)	-	0.17 (3.58 / 3.08)
 	Percentile (%)	11.434	10.485	-	93.174	-	26.286
4-hydroxy-tetrahydrodipicolinate synthase	FC (WS / NS)	0.77 (5.49 / 2.81)	2.56 (4.32 / -0.09)	1.67 (5.36 / 1)	1.26 (1.4 / 0)	-	1.13 (5.36 / 1.91)
 	Percentile (%)	11.501	0.191	5.263	8.424	-	6.293
amine-lyase activity	FC (WS / NS)	0.77 (5.49 / 2.81)	-0.58 (3.81 / 6.21)	-	-	-	-
 	Percentile (%)	11.535	73.728	-	-	-	-
tRNA dihydrouridine synthase activity	FC (WS / NS)	0.73 (2.32 / 1)	0.91 (2.58 / 0.91)	-	-0.86 (3.27 / 6.78)	-	-
 	Percentile (%)	11.735	9.577	-	82.353	-	-
3-dehydroquinate dehydratase activity	FC (WS / NS)	0.73 (6.58 / 3.58)	0.14 (0 / -0.09)	-	-	-	0.46 (3 / 1.91)
 	Percentile (%)	11.769	22.044	-	-	-	13.089
4-hydroxy-tetrahydrodipicolinate reductase	FC (WS / NS)	0.72 (6.93 / 3.81)	2.49 (4.09 / -0.09)	0.79 (6.21 / 3.17)	0.03 (5.3 / 5.17)	-0.25 (-8.83 / -10.28)	-0.11 (5 / 5.46)
 	Percentile (%)	11.802	0.263	9.346	36.456	70.748	70.946
adenosylhomocysteinase activity	FC (WS / NS)	0.72 (4.46 / 2.32)	-	0.71 (4.86 / 2.58)	0.14 (7.98 / 7.17)	-0.06 (-7.98 / -8.26)	0.77 (4.95 / 2.49)
 	Percentile (%)	11.836	-	9.887	19.317	53.088	8.198
nucleoside diphosphate kinase activity	FC (WS / NS)	0.71 (5.21 / 2.81)	0.39 (7.38 / 5.4)	0.25 (5.13 / 4.17)	2.45 (4.46 / 0)	-	0.64 (5.36 / 3.08)
 	Percentile (%)	11.936	15.023	19.626	4.938	-	10.068
NAD+ kinase activity	FC (WS / NS)	0.7 (4.81 / 2.58)	0.44 (1.58 / 0.91)	1.27 (3.81 / 1)	-	-	0.39 (4.32 / 3.08)
 	Percentile (%)	12.07	13.351	6.64	-	-	15.426
transferase activity, transferring amino-acyl groups	FC (WS / NS)	0.68 (3.81 / 2)	-0.78 (2 / 4.15)	-	-	-	-0.29 (3 / 3.91)
 	Percentile (%)	12.103	76.093	-	-	-	78.425
5,10-methylenetetrahydrofolate-dependent tRNA (m5U54) methyltransferase activity	FC (WS / NS)	0.68 (3.81 / 2)	-	-	-	-	0.37 (3.81 / 2.71)
 	Percentile (%)	12.136	-	-	-	-	15.714
methylenetetrahydrofolate-tRNA-(uracil-5-)-methyltransferase (FADH2-oxidizing) activity	FC (WS / NS)	0.68 (3.81 / 2)	-	-	-	-	0.37 (3.81 / 2.71)
 	Percentile (%)	12.17	-	-	-	-	15.75
5-amino-6-(5-phosphoribosylamino)uracil reductase activity	FC (WS / NS)	0.67 (4.7 / 2.58)	0.14 (0 / -0.09)	-	-	-	-0.93 (0 / 0.91)
 	Percentile (%)	12.237	24.098	-	-	-	92.449
3-deoxy-7-phosphoheptulonate synthase activity	FC (WS / NS)	0.64 (6.49 / 3.81)	2.73 (5 / -0.09)	0.79 (5.58 / 2.81)	-	-	0.8 (5.78 / 2.91)
 	Percentile (%)	12.304	0.048	9.297	-	-	8.019
argininosuccinate lyase activity	FC (WS / NS)	0.61 (3.58 / 2)	-0.93 (0 / 0.91)	-	-0.3 (-0.19 / 0)	-	0.37 (3.17 / 2.23)
 	Percentile (%)	12.471	77.669	-	72.476	-	15.894
xanthine dehydrogenase activity	FC (WS / NS)	0.61 (6 / 3.58)	1.51 (1.58 / -0.09)	0.24 (5.09 / 4.17)	0.21 (3.14 / 2.58)	0.01 (-8.8 / -8.72)	0.15 (5.04 / 4.43)
 	Percentile (%)	12.504	4.514	20.462	15.323	45.287	27.436
3-dehydroquinate synthase activity	FC (WS / NS)	0.61 (7.23 / 4.39)	-	2.32 (4 / 0)	0.86 (0.81 / 0)	-	0.79 (4.58 / 2.23)
 	Percentile (%)	12.538	-	1.377	8.642	-	8.055
nicotinate-nucleotide adenylyltransferase activity	FC (WS / NS)	0.61 (4.46 / 2.58)	0.61 (2.81 / 1.49)	-	-	-	0.61 (2.81 / 1.49)
 	Percentile (%)	12.571	11.942	-	-	-	10.392
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	FC (WS / NS)	0.6 (6.29 / 3.81)	-0.05 (5.81 / 6.06)	-	0.17 (9.56 / 8.39)	-0.21 (-6.53 / -7.41)	0 (6.78 / 6.78)
 	Percentile (%)	12.638	59.255	-	17.284	67.389	58.288
phosphoserine phosphatase activity	FC (WS / NS)	0.58 (5 / 3)	2.23 (3.7 / 0)	-	-	-	-
 	Percentile (%)	12.705	0.812	-	-	-	-
tRNA (cytosine-5-)-methyltransferase activity	FC (WS / NS)	0.58 (2 / 1)	0 (0 / 0)	-	-	-	-
 	Percentile (%)	12.738	49.845	-	-	-	-
alpha-glucosidase activity	FC (WS / NS)	0.58 (6.46 / 4)	0.39 (3.58 / 2.49)	-	-	-	-
 	Percentile (%)	12.805	14.927	-	-	-	-
rRNA (guanine-N7-)-methyltransferase activity	FC (WS / NS)	0.57 (4.32 / 2.58)	1.93 (2.81 / 0)	-	-	-	0.37 (3.17 / 2.23)
 	Percentile (%)	12.839	2.102	-	-	-	16.001
6-phosphofructo-2-kinase activity	FC (WS / NS)	0.56 (3.91 / 2.32)	-	-	-	-	-
 	Percentile (%)	12.905	-	-	-	-	-
fructose-2,6-bisphosphate 2-phosphatase activity	FC (WS / NS)	0.56 (3.91 / 2.32)	-	-	-	-	-
 	Percentile (%)	12.939	-	-	-	-	-
precorrin-6A reductase activity	FC (WS / NS)	0.56 (2.81 / 1.58)	-	-	0.22 (4.81 / 4)	-0.07 (-7.28 / -7.6)	0.35 (3.46 / 2.49)
 	Percentile (%)	13.039	-	-	15.033	54.93	16.361
polysaccharide binding	FC (WS / NS)	0.56 (7.21 / 4.58)	-	0.17 (11.81 / 10.36)	-	-	-
 	Percentile (%)	13.139	-	24.152	-	-	-
gated channel activity	FC (WS / NS)	0.54 (6 / 3.81)	-0.48 (3.58 / 5.4)	-	-	-	0.04 (7.16 / 6.92)
 	Percentile (%)	13.173	72.032	-	-	-	47.573
pseudouridine synthase activity	FC (WS / NS)	0.54 (7.13 / 4.58)	1.06 (5.04 / 1.91)	-	2.27 (3.81 / 0)	-	0.24 (5.75 / 4.71)
 	Percentile (%)	13.206	6.759	-	5.955	-	21.036
cyclase activity	FC (WS / NS)	0.53 (3.81 / 2.32)	-	-	-	-	-
 	Percentile (%)	13.307	-	-	-	-	-
starch binding	FC (WS / NS)	0.53 (3.81 / 2.32)	-	0.29 (5.21 / 4.09)	-	-	-
 	Percentile (%)	13.373	-	17.855	-	-	-
allantoinase activity	FC (WS / NS)	0.52 (5 / 3.17)	-	-	-	-	-
 	Percentile (%)	13.474	-	-	-	-	-
dihydroorotase activity	FC (WS / NS)	0.52 (5 / 3.17)	-	0.12 (6.41 / 5.81)	2.77 (5.81 / 0)	-	0.56 (5.25 / 3.23)
 	Percentile (%)	13.507	-	28.283	3.631	-	11.039
dihydropyrimidinase activity	FC (WS / NS)	0.52 (5 / 3.17)	-	-	-	-	-1.54 (0 / 1.91)
 	Percentile (%)	13.541	-	-	-	-	96.512
thioredoxin peroxidase activity	FC (WS / NS)	0.52 (6.43 / 4.17)	0.56 (6.38 / 3.99)	-	-0.04 (5.98 / 6.17)	0.03 (-8.49 / -8.36)	0.56 (6.51 / 4.08)
 	Percentile (%)	13.607	12.157	-	53.086	44.745	11.003
tryptophan synthase activity	FC (WS / NS)	0.52 (5.58 / 3.58)	-	0.75 (4.58 / 2.32)	1.49 (1.81 / 0)	-	0.04 (4.64 / 4.49)
 	Percentile (%)	13.641	-	9.592	7.044	-	48.22
four-way junction helicase activity	FC (WS / NS)	0.52 (5.58 / 3.58)	0.95 (3.81 / 1.49)	0.92 (3.91 / 1.58)	-	-	-0.17 (4.58 / 5.26)
 	Percentile (%)	13.674	9.482	8.214	-	-	73.966
exodeoxyribonuclease VII activity	FC (WS / NS)	0.51 (4.7 / 3)	0.88 (3.58 / 1.49)	-	-	-	0.16 (4 / 3.49)
 	Percentile (%)	13.741	9.697	-	-	-	27.292
dihydroorotate oxidase activity	FC (WS / NS)	0.5 (4.64 / 3)	-	-	-	-	-
 	Percentile (%)	13.808	-	-	-	-	-
superoxide reductase activity	FC (WS / NS)	0.49 (5.46 / 3.58)	-	0.53 (5.46 / 3.46)	-	-	0.3 (4.39 / 3.36)
 	Percentile (%)	13.875	-	11.805	-	-	17.763
3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	FC (WS / NS)	0.49 (6.86 / 4.58)	-	2.27 (3.81 / 0)	-	-	1.44 (4.17 / 0.91)
 	Percentile (%)	13.908	-	1.722	-	-	3.308
shikimate 3-dehydrogenase (NADP+) activity	FC (WS / NS)	0.49 (7.64 / 5.17)	-	-	-	-	-0.11 (2 / 2.23)
 	Percentile (%)	13.942	-	-	-	-	70.514
2-alkenal reductase [NAD(P)] activity	FC (WS / NS)	0.49 (6 / 4)	-	-	-	-	-
 	Percentile (%)	13.975	-	-	-	-	-
metallochaperone activity	FC (WS / NS)	0.48 (3.17 / 2)	1 (1 / 0)	-	-	-	-
 	Percentile (%)	14.009	8.096	-	-	-	-
shikimate kinase activity	FC (WS / NS)	0.47 (7.78 / 5.32)	-0.93 (0 / 0.91)	0.62 (4.52 / 2.58)	2.58 (4.98 / 0)	-	0.56 (4.75 / 2.91)
 	Percentile (%)	14.109	77.812	11.018	4.72	-	11.111
polyphosphate kinase activity	FC (WS / NS)	0.47 (2.58 / 1.58)	-	-	-2.06 (0 / 3.17)	-	0.37 (3.17 / 2.23)
 	Percentile (%)	14.176	-	-	86.42	-	15.965
carbon-oxygen lyase activity, acting on phosphates	FC (WS / NS)	0.47 (9.79 / 6.78)	0.45 (4.32 / 2.91)	2.74 (5.7 / 0)	-	-	0.83 (6.27 / 3.08)
 	Percentile (%)	14.276	13.184	0.344	-	-	7.731
rRNA (adenine) methyltransferase activity	FC (WS / NS)	0.47 (6.48 / 4.39)	-	0.54 (6 / 3.81)	-	-	0.17 (5.32 / 4.61)
 	Percentile (%)	14.31	-	11.756	-	-	26.106
protein serine/threonine/tyrosine kinase activity	FC (WS / NS)	0.46 (3.58 / 2.32)	-	2.2 (3.58 / 0)	-	-	-
 	Percentile (%)	14.343	-	2.804	-	-	-
precorrin-3B C17-methyltransferase activity	FC (WS / NS)	0.46 (3.58 / 2.32)	-	-	-	-	0.43 (3.7 / 2.49)
 	Percentile (%)	14.41	-	-	-	-	14.06
ketol-acid reductoisomerase activity	FC (WS / NS)	0.46 (7.61 / 5.25)	0.5 (7.64 / 5.11)	0.44 (7.64 / 5.39)	0.22 (12.86 / 10.92)	-0.68 (-4.57 / -6.69)	0.42 (7.77 / 5.55)
 	Percentile (%)	14.443	12.73	13.182	14.96	88.949	14.204
6-phosphogluconolactonase activity	FC (WS / NS)	0.46 (5.86 / 4)	1.93 (2.81 / 0)	2.06 (3.17 / 0)	-	-	1.59 (4.75 / 0.91)
 	Percentile (%)	14.477	2.006	3.837	-	-	2.122
glutamate-ammonia ligase activity	FC (WS / NS)	0.45 (8.32 / 5.81)	-2.2 (0 / 3.61)	0.5 (7.27 / 4.86)	0.32 (13.3 / 10.49)	-0.72 (-5.15 / -7.84)	0.49 (7.55 / 5.08)
 	Percentile (%)	14.51	92.262	12.1	12.781	89.382	12.334
UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity	FC (WS / NS)	0.45 (4.7 / 3.17)	-0.81 (2.81 / 5.69)	0.39 (4.64 / 3.32)	1.49 (1.81 / 0)	-	0.29 (4.75 / 3.71)
 	Percentile (%)	14.544	76.403	15.002	7.988	-	18.626
tRNA (m5U54) methyltransferase activity	FC (WS / NS)	0.45 (6.04 / 4.17)	-	-	-	-	-
 	Percentile (%)	14.577	-	-	-	-	-
arsenate reductase (glutaredoxin) activity	FC (WS / NS)	0.44 (4.86 / 3.32)	0 (0 / 0)	-	-	-	0.47 (5.04 / 3.36)
 	Percentile (%)	14.61	48.889	-	-	-	12.909
S-methyl-5-thioadenosine phosphorylase activity	FC (WS / NS)	0.44 (5.21 / 3.58)	-	-	0.22 (4.81 / 4)	-0.26 (-8.73 / -10.25)	1.13 (3.17 / 0.91)
 	Percentile (%)	14.644	-	-	15.105	72.589	6.185
spermine synthase activity	FC (WS / NS)	0.43 (4.39 / 3)	-	-	-	-	-
 	Percentile (%)	14.677	-	-	-	-	-
glutamate 5-kinase activity	FC (WS / NS)	0.42 (4.58 / 3.17)	-	-	-	-	-0.22 (2 / 2.49)
 	Percentile (%)	14.811	-	-	-	-	76.339
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity	FC (WS / NS)	0.42 (4.09 / 2.81)	0.38 (4.09 / 2.91)	-	3.17 (8.03 / 0)	-	0.33 (4.32 / 3.23)
 	Percentile (%)	14.845	15.238	-	1.162	-	16.757
UDP-galactopyranose mutase activity	FC (WS / NS)	0.42 (3 / 2)	0.07 (1 / 0.91)	-	-2.98 (0 / 6.89)	-	0.37 (3.17 / 2.23)
 	Percentile (%)	14.878	36.279	-	91.866	-	15.93
tyrosine-based site-specific recombinase activity	FC (WS / NS)	0.42 (3 / 2)	-	-	-	-	0.27 (2 / 1.49)
 	Percentile (%)	14.911	-	-	-	-	19.561
protein tyrosine phosphatase activity	FC (WS / NS)	0.41 (4.32 / 3)	-0.93 (0 / 0.91)	-	-	-	-0.24 (2.81 / 3.49)
 	Percentile (%)	14.945	77.788	-	-	-	77.023
phosphotransferase activity, for other substituted phosphate groups	FC (WS / NS)	0.41 (6.98 / 5)	-	-	-	-	-0.28 (3.46 / 4.43)
 	Percentile (%)	15.012	-	-	-	-	78.173
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity	FC (WS / NS)	0.41 (4.52 / 3.17)	-0.8 (1 / 2.49)	-	-2.5 (0 / 4.64)	-0.57 (-7.17 / -10.19)	-1.8 (0 / 2.49)
 	Percentile (%)	15.045	76.308	-	88.235	86.024	97.807
tetrahydrodipicolinate N-acetyltransferase activity	FC (WS / NS)	0.41 (4.52 / 3.17)	-	1.1 (4.52 / 1.58)	0.02 (8.15 / 7.99)	-0.57 (-7.17 / -10.19)	1.21 (4.75 / 1.49)
 	Percentile (%)	15.079	-	7.231	37.981	86.132	4.027
7S RNA binding	FC (WS / NS)	0.4 (5.73 / 4.09)	-	-	0.32 (9.23 / 7.17)	-0.09 (-10.26 / -10.87)	0.2 (5.91 / 4.99)
 	Percentile (%)	15.179	-	-	12.418	56.88	23.229
phosphoprotein phosphatase activity	FC (WS / NS)	0.4 (8.19 / 5.95)	-1.08 (1 / 3.23)	-	-	-	0.21 (5.61 / 4.71)
 	Percentile (%)	15.212	82.517	-	-	-	23.013
arginine binding	FC (WS / NS)	0.4 (4.7 / 3.32)	-0.93 (0 / 0.91)	0.3 (4.91 / 3.81)	0.01 (7.04 / 6.97)	-0.02 (-7.05 / -7.13)	0.37 (4.95 / 3.61)
 	Percentile (%)	15.246	80.153	17.314	40.232	50.163	15.858
glucosidase activity	FC (WS / NS)	0.4 (9.59 / 7.04)	-	-	-	-	-
 	Percentile (%)	15.313	-	-	-	-	-
L-aminoadipate-semialdehyde dehydrogenase activity	FC (WS / NS)	0.4 (5.32 / 3.81)	-	-	-	-	-
 	Percentile (%)	15.346	-	-	-	-	-
fatty acid binding	FC (WS / NS)	0.39 (5.78 / 4.17)	-	-	-	-	0.42 (5.78 / 4.08)
 	Percentile (%)	15.413	-	-	-	-	14.239
vitamin E binding	FC (WS / NS)	0.39 (5.78 / 4.17)	-	-	-	-	-
 	Percentile (%)	15.513	-	-	-	-	-
glutathione transferase activity	FC (WS / NS)	0.38 (3.32 / 2.32)	-	-	-	-	-
 	Percentile (%)	16.048	-	-	-	-	-
guanylate kinase activity	FC (WS / NS)	0.37 (4.39 / 3.17)	0.48 (4.17 / 2.71)	0.81 (4.25 / 2)	1.49 (1.81 / 0)	-	0.61 (4.32 / 2.49)
 	Percentile (%)	16.182	12.873	9.001	6.972	-	10.572
mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	FC (WS / NS)	0.37 (1.58 / 1)	-	-	-	-	-0.54 (1 / 1.91)
 	Percentile (%)	16.215	-	-	-	-	86.731
phosphatidylserine decarboxylase activity	FC (WS / NS)	0.37 (1.58 / 1)	2.2 (3.58 / 0)	-	-	-	-0.52 (1.58 / 2.71)
 	Percentile (%)	16.249	0.86	-	-	-	86.372
ubiquitin-protein transferase activity	FC (WS / NS)	0.37 (1.58 / 1)	0.07 (1 / 0.91)	-	-	-	0.03 (3.7 / 3.61)
 	Percentile (%)	16.282	36.207	-	-	-	51.025
o-succinylbenzoate-CoA ligase activity	FC (WS / NS)	0.37 (1.58 / 1)	-	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	16.349	-	-	-	-	30.924
precorrin-6Y C5,15-methyltransferase (decarboxylating) activity	FC (WS / NS)	0.37 (4.58 / 3.32)	-	-	0.14 (5.4 / 4.81)	-0.06 (-6.21 / -6.42)	0.51 (3.58 / 2.23)
 	Percentile (%)	16.416	-	-	19.172	53.413	12.118
spermidine synthase activity	FC (WS / NS)	0.37 (5.46 / 4)	0 (0 / 0)	0.57 (4.32 / 2.58)	-	-	0.36 (5.17 / 3.81)
 	Percentile (%)	16.483	47.886	11.559	-	-	16.289
signal recognition particle binding	FC (WS / NS)	0.37 (5.21 / 3.81)	0 (0 / 0)	-	-	-	-
 	Percentile (%)	16.516	47.934	-	-	-	-
mercury ion transmembrane transporter activity	FC (WS / NS)	0.37 (4.75 / 3.46)	-	-	-	-	-
 	Percentile (%)	16.65	-	-	-	-	-
1-acylglycerol-3-phosphate O-acyltransferase activity	FC (WS / NS)	0.36 (2.32 / 1.58)	-1.32 (0 / 1.49)	-	-	-	0.05 (2 / 1.91)
 	Percentile (%)	16.784	84.07	-	-	-	46.746
UDP-N-acetylglucosamine 2-epimerase activity	FC (WS / NS)	0.35 (4.86 / 3.58)	0 (0 / 0)	-	0.1 (9.23 / 8.56)	-0.22 (-7.8 / -8.9)	0.28 (4.95 / 3.91)
 	Percentile (%)	16.851	48.842	-	24.401	67.606	19.022
N-acylmannosamine kinase activity	FC (WS / NS)	0.35 (4.86 / 3.58)	-	-	-	-0.17 (-9.8 / -10.9)	-
 	Percentile (%)	16.884	-	-	-	63.272	-
porphobilinogen synthase activity	FC (WS / NS)	0.35 (4.32 / 3.17)	-1.8 (0 / 2.49)	-	-3.3 (0 / 8.87)	-	0.29 (4.32 / 3.36)
 	Percentile (%)	16.951	89.73	-	95.352	-	18.734
phosphopentomutase activity	FC (WS / NS)	0.34 (6.83 / 5.17)	0.31 (6.78 / 5.26)	0.33 (6.71 / 5.13)	0.17 (14.5 / 12.76)	-0.36 (-7.14 / -8.88)	0.36 (6.85 / 5.11)
 	Percentile (%)	16.984	16.456	16.724	16.993	78.657	16.181
non-membrane spanning protein tyrosine kinase activity	FC (WS / NS)	0.33 (6.29 / 4.81)	-	1.16 (3.46 / 1)	-	-	2.3 (3.46 / -0.09)
 	Percentile (%)	17.285	-	7.083	-	-	0.431
O-acetylhomoserine aminocarboxypropyltransferase activity	FC (WS / NS)	0.32 (5.36 / 4.09)	-	0.82 (5.32 / 2.58)	1.49 (1.81 / 0)	-	0.15 (5.04 / 4.43)
 	Percentile (%)	17.352	-	8.854	6.826	-	27.4
aspartate kinase activity	FC (WS / NS)	0.32 (7.49 / 5.81)	2.47 (4 / -0.09)	0.35 (5.13 / 3.81)	0.23 (6.72 / 5.58)	-	0.2 (5.46 / 4.61)
 	Percentile (%)	17.385	0.287	16.035	14.815	-	23.301
homoserine dehydrogenase activity	FC (WS / NS)	0.32 (7.49 / 5.81)	0.14 (0 / -0.09)	0.41 (5.88 / 4.17)	-	-	0.36 (5.88 / 4.36)
 	Percentile (%)	17.419	22.355	13.724	-	-	16.217
hydroxylamine reductase activity	FC (WS / NS)	0.32 (6.3 / 4.86)	1.51 (1.58 / -0.09)	0.2 (5.81 / 4.91)	0.69 (7.06 / 4)	-0.07 (-10.71 / -11.23)	0.21 (5.88 / 4.95)
 	Percentile (%)	17.452	4.753	22.479	10.022	55.146	23.085
cellulase activity	FC (WS / NS)	0.32 (8.49 / 6.63)	0.14 (0 / -0.09)	-	-	-0.19 (-8.57 / -9.64)	-
 	Percentile (%)	17.519	24.218	-	-	65.547	-
phosphopantetheine binding	FC (WS / NS)	0.31 (6.46 / 5)	0.14 (0 / -0.09)	-1.51 (1 / 4.7)	-1 (0 / 1)	-	-0.35 (4.52 / 6.06)
 	Percentile (%)	17.553	26.797	89.474	82.934	-	82.956
mannosidase activity	FC (WS / NS)	0.31 (5.52 / 4.25)	-	-	-	-	-
 	Percentile (%)	17.586	-	-	-	-	-
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity	FC (WS / NS)	0.31 (5.09 / 3.91)	-1.54 (0 / 1.91)	-	-	-	-0.69 (1 / 2.23)
 	Percentile (%)	17.62	87.127	-	-	-	88.961
