GO Term	Fold Change	MPA	EggNOG	MEGAN	MetaGOmics	Prophane	Unipept
N-methyltransferase activity	FC (WS / NS)	0.86 (0.81 / 0)	0.63 (6.13 / 3.61)	0.05 (9.86 / 9.52)	0.38 (6.44 / 4.7)	-	0.07 (6.38 / 6.03)
 	Percentile (%)	9.662	14.692	39.391	14.984	-	44.135
oxidoreductase activity, oxidizing metal ions	FC (WS / NS)	0.85 (10.71 / 5.49)	-0.41 (5.91 / 8.16)	0.06 (9.8 / 9.35)	-0.32 (6.52 / 8.42)	0.18 (-2.02 / -1.9)	0.28 (8.93 / 7.2)
 	Percentile (%)	9.709	66.253	36.37	74.476	22.625	20.476
NADH peroxidase activity	FC (WS / NS)	0.8 (4.21 / 2)	-1.8 (0 / 2.49)	-	-	-	0.4 (7.67 / 5.58)
 	Percentile (%)	9.756	89.206	-	-	-	16.416
pyruvate carboxylase activity	FC (WS / NS)	0.78 (11.19 / 6.09)	-	0.19 (9.44 / 8.15)	0.2 (8.12 / 6.93)	-0.54 (-5.65 / -7.76)	0.5 (8.41 / 5.63)
 	Percentile (%)	9.803	-	25.246	23.683	85.642	13.008
tetraacyldisaccharide 4'-kinase activity	FC (WS / NS)	0.72 (4.46 / 2.32)	0.65 (2 / 0.91)	0.93 (2.81 / 1)	2.06 (3.17 / 0)	-0.16 (-7.79 / -8.58)	1.13 (3.17 / 0.91)
 	Percentile (%)	9.85	14.257	12.36	3.492	61.929	6.566
sigma factor activity	FC (WS / NS)	0.69 (9.33 / 5.39)	0 (5.21 / 5.23)	-0.01 (7.91 / 7.94)	-	-	-0.03 (6.04 / 6.21)
 	Percentile (%)	9.991	52.493	66.514	-	-	63.058
hydroxylamine reductase activity	FC (WS / NS)	0.69 (7.06 / 4)	1.51 (1.58 / -0.09)	0.32 (6.3 / 4.86)	0.2 (5.81 / 4.91)	-0.07 (-10.71 / -11.23)	0.21 (5.88 / 4.95)
 	Percentile (%)	10.038	5.203	19.364	23.556	54.46	24.336
protease binding	FC (WS / NS)	0.68 (3.81 / 2)	0.44 (1.58 / 0.91)	-	0.15 (9.52 / 8.49)	-	-
 	Percentile (%)	10.084	16.633	-	26.444	-	-
mercury (II) reductase activity	FC (WS / NS)	0.66 (8.34 / 4.91)	-	-	-	0.04 (-11.37 / -11.07)	0.29 (7.29 / 5.76)
 	Percentile (%)	10.225	-	-	-	41.407	19.825
oxidoreductase activity, oxidizing metal ions, NAD or NADP as acceptor	FC (WS / NS)	0.66 (8.34 / 4.91)	-	-	-	0.05 (-10.37 / -10.07)	0.29 (7.29 / 5.76)
 	Percentile (%)	10.272	-	-	-	40.392	19.85
phosphorylase activity	FC (WS / NS)	0.59 (12.96 / 8.3)	-0.97 (2.58 / 6.03)	0.18 (9.7 / 8.42)	0.17 (8.31 / 7.29)	-0.26 (-8.73 / -10.25)	0.27 (7.48 / 6.03)
 	Percentile (%)	10.319	79.966	25.521	25.46	70.921	20.702
glycogen phosphorylase activity	FC (WS / NS)	0.59 (12.96 / 8.3)	-0.93 (0 / 0.91)	0.23 (7.07 / 5.86)	0.26 (7.13 / 5.81)	-	0.28 (7.44 / 5.97)
 	Percentile (%)	10.366	75.291	22.522	19.778	-	20.451
linear malto-oligosaccharide phosphorylase activity	FC (WS / NS)	0.59 (12.96 / 8.3)	-	-	0.26 (7.13 / 5.81)	-	0.29 (7.43 / 5.88)
 	Percentile (%)	10.413	-	-	19.81	-	19.674
SHG alpha-glucan phosphorylase activity	FC (WS / NS)	0.59 (12.96 / 8.3)	-	-	0.26 (7.13 / 5.81)	-	0.29 (7.43 / 5.88)
 	Percentile (%)	10.46	-	-	19.841	-	19.699
small ribosomal subunit rRNA binding	FC (WS / NS)	0.57 (6.68 / 4.17)	0.19 (6.02 / 5.15)	-	-0.16 (6.55 / 7.42)	-	0.95 (5.25 / 2.23)
 	Percentile (%)	10.507	23.979	-	66.952	-	7.519
amino acid-transporting ATPase activity	FC (WS / NS)	0.55 (3.4 / 2)	0.46 (3 / 1.91)	-	0.38 (6.11 / 4.46)	-	0.26 (6.29 / 5.08)
 	Percentile (%)	10.647	16.214	-	15.079	-	21.679
organic acid-transporting ATPase activity	FC (WS / NS)	0.55 (3.4 / 2)	0.46 (3 / 1.91)	-	0.3 (7.69 / 6.04)	-	0.26 (6.29 / 5.08)
 	Percentile (%)	10.694	16.307	-	17.81	-	21.704
carboxylic acid-transporting ATPase activity	FC (WS / NS)	0.55 (3.4 / 2)	0.46 (3 / 1.91)	-	0.33 (7.11 / 5.46)	-	0.26 (6.29 / 5.08)
 	Percentile (%)	10.741	16.322	-	17.016	-	21.729
monocarboxylic acid binding	FC (WS / NS)	0.54 (11.11 / 7.32)	-0.01 (7.04 / 7.09)	0.12 (9.49 / 8.66)	0.14 (8.55 / 7.67)	-	0.3 (8.12 / 6.43)
 	Percentile (%)	10.788	52.726	30.007	27.429	-	19.574
oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor	FC (WS / NS)	0.49 (1.81 / 1)	-	-0.11 (12.09 / 13.09)	-0.12 (10.47 / 11.45)	-0.4 (-5.16 / -6.47)	0.22 (5.64 / 4.71)
 	Percentile (%)	10.882	-	76.837	64.19	81.436	23.985
acetoacetyl-CoA reductase activity	FC (WS / NS)	0.49 (1.81 / 1)	0.48 (5.83 / 3.91)	-	-	-	0.82 (5.55 / 2.71)
 	Percentile (%)	10.929	15.95	-	-	-	8.246
transferase activity, transferring hexosyl groups	FC (WS / NS)	0.47 (14.56 / 10.22)	-0.08 (7.33 / 7.81)	0.09 (12.88 / 12)	0.21 (10.26 / 8.76)	-0.23 (-6.75 / -7.77)	0.14 (9.49 / 8.54)
 	Percentile (%)	10.976	56.888	32.479	23.333	67.875	35.088
intramolecular transferase activity, transferring acyl groups	FC (WS / NS)	0.45 (8.54 / 6)	0.02 (6.41 / 6.33)	-0.02 (7.04 / 7.15)	-	-0.51 (-5.83 / -7.86)	0.21 (5.43 / 4.55)
 	Percentile (%)	11.445	44.852	70.039	-	84.627	24.236
precorrin-8X methylmutase activity	FC (WS / NS)	0.45 (8.54 / 6)	0.2 (5.29 / 4.49)	0.18 (5.32 / 4.58)	-	-0.48 (-6.15 / -8.18)	0.21 (5.43 / 4.55)
 	Percentile (%)	11.492	23.715	25.704	-	84.119	24.261
glutathione-disulfide reductase activity	FC (WS / NS)	0.45 (7.8 / 5.46)	1.62 (4.86 / 0.91)	0.17 (7.85 / 6.85)	2.63 (5.21 / 0)	-	1.13 (5.36 / 1.91)
 	Percentile (%)	11.538	3.432	26.07	0.571	-	6.642
peptide disulfide oxidoreductase activity	FC (WS / NS)	0.45 (7.8 / 5.46)	0.93 (6.44 / 2.91)	0.15 (9.43 / 8.43)	1.23 (6.79 / 2.32)	-	1.13 (5.36 / 1.91)
 	Percentile (%)	11.585	12.16	27.901	6.127	-	6.692
glutathione disulfide oxidoreductase activity	FC (WS / NS)	0.45 (7.8 / 5.46)	1.09 (5.86 / 2.23)	0.15 (8.85 / 7.85)	1.48 (6.21 / 1.58)	-	1.13 (5.36 / 1.91)
 	Percentile (%)	11.632	7.61	27.329	5.143	-	6.717
isobutyryl-CoA mutase activity	FC (WS / NS)	0.43 (4.4 / 3)	-	-	-	-	0.19 (2.32 / 1.91)
 	Percentile (%)	11.82	-	-	-	-	25.188
glycerol-3-phosphate transmembrane transporter activity	FC (WS / NS)	0.42 (4.57 / 3.17)	-1.69 (0 / 2.23)	-0.01 (7.55 / 7.6)	-	-0.01 (-7.39 / -7.45)	0.17 (6.02 / 5.26)
 	Percentile (%)	11.867	88.321	67.498	-	48.658	27.569
glycerol-3-phosphate-transporting ATPase activity	FC (WS / NS)	0.42 (4.57 / 3.17)	-	0.02 (5.93 / 5.86)	-	-0.01 (-8.39 / -8.45)	0.28 (5.98 / 4.76)
 	Percentile (%)	11.914	-	47.105	-	47.643	20.501
organophosphate ester transmembrane transporter activity	FC (WS / NS)	0.42 (4.57 / 3.17)	-1.69 (0 / 2.23)	-0.01 (7.55 / 7.61)	-	-0.01 (-7.39 / -7.45)	0.17 (6.02 / 5.26)
 	Percentile (%)	11.961	88.383	67.727	-	48.731	27.594
glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	FC (WS / NS)	0.4 (8.38 / 6.13)	-0.44 (4.46 / 6.43)	0.1 (9.51 / 8.78)	0.05 (9.01 / 8.64)	-0.38 (-5.33 / -6.65)	0.27 (7.65 / 6.19)
 	Percentile (%)	12.008	67.2	31.38	40.794	80.058	21.353
glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity	FC (WS / NS)	0.4 (8.38 / 6.13)	-0.44 (4.46 / 6.43)	0.1 (9.51 / 8.78)	0.07 (10.18 / 9.64)	-0.38 (-5.33 / -6.65)	0.27 (7.65 / 6.19)
 	Percentile (%)	12.054	67.215	31.403	36.921	80.276	21.378
dihydroxy-acid dehydratase activity	FC (WS / NS)	0.37 (11.68 / 8.81)	0.72 (6.41 / 3.49)	0.8 (6.74 / 3.46)	0.73 (6.61 / 3.58)	-	0.65 (6.83 / 3.99)
 	Percentile (%)	12.336	13.589	13.092	9.651	-	10.802
UDP-N-acetylmuramate-L-alanine ligase activity	FC (WS / NS)	0.36 (9.99 / 7.56)	0.21 (6.13 / 5.15)	0.1 (5.86 / 5.39)	0.14 (6.09 / 5.43)	-0.13 (-7.72 / -8.34)	0.15 (6.32 / 5.61)
 	Percentile (%)	12.852	23.373	31.54	27.111	59.101	29.098
hexokinase activity	FC (WS / NS)	0.34 (11.39 / 8.76)	0.81 (6.43 / 3.23)	0.25 (8.58 / 7.04)	0.34 (7.64 / 5.81)	0.12 (-9.56 / -8.88)	0.39 (6.7 / 4.86)
 	Percentile (%)	12.899	12.844	21.767	16.095	30.747	16.541
phosphoglucosamine mutase activity	FC (WS / NS)	0.33 (11.78 / 9.16)	0.07 (6.11 / 5.79)	0.02 (7.99 / 7.85)	-	-	0.04 (6.49 / 6.3)
 	Percentile (%)	12.946	37.91	44.472	-	-	49.825
glucokinase activity	FC (WS / NS)	0.33 (11.24 / 8.76)	-	0.29 (7.58 / 6.04)	0.3 (5.81 / 4.52)	0.11 (-10.56 / -9.88)	0.35 (5.83 / 4.36)
 	Percentile (%)	12.992	-	20.485	17.873	31.835	17.87
7S RNA binding	FC (WS / NS)	0.32 (9.23 / 7.17)	-	0.4 (5.73 / 4.09)	-	-0.09 (-10.26 / -10.87)	0.2 (5.91 / 4.99)
 	Percentile (%)	13.039	-	16.892	-	56.128	24.486
ureidoglycolate dehydrogenase activity	FC (WS / NS)	0.32 (4.21 / 3.17)	-	-	-	-	0.22 (5.39 / 4.49)
 	Percentile (%)	13.133	-	-	-	-	23.659
propionyl-CoA carboxylase activity	FC (WS / NS)	0.32 (3.98 / 3)	0.17 (7.73 / 6.76)	-0.19 (7.29 / 8.46)	0.13 (6.54 / 5.88)	-0.25 (-8.1 / -9.42)	0.19 (6.17 / 5.3)
 	Percentile (%)	13.18	24.522	80.018	28.476	69.616	26.216
methylmalonyl-CoA carboxytransferase activity	FC (WS / NS)	0.32 (3.98 / 3)	-	-	-	-0.25 (-8.1 / -9.42)	0.15 (7.2 / 6.4)
 	Percentile (%)	13.227	-	-	-	69.688	29.073
glutamate-ammonia ligase activity	FC (WS / NS)	0.32 (13.3 / 10.49)	-2.2 (0 / 3.61)	0.45 (8.32 / 5.81)	0.5 (7.27 / 4.86)	-0.72 (-5.15 / -7.84)	0.49 (7.55 / 5.08)
 	Percentile (%)	13.274	92.235	16.228	12.317	90.138	13.083
transferase activity, transferring glycosyl groups	FC (WS / NS)	0.29 (15.12 / 12.15)	-0.06 (9.19 / 9.63)	0.04 (15.59 / 15.09)	0.12 (11.38 / 10.42)	-0.41 (-3.54 / -4.39)	0.09 (10.43 / 9.73)
 	Percentile (%)	13.415	56.142	39.803	30.095	81.798	39.073
diaminopimelate dehydrogenase activity	FC (WS / NS)	0.27 (8.52 / 6.92)	-	0.85 (5.46 / 2.58)	0.76 (5.75 / 3)	-0.25 (-8.83 / -10.28)	0.72 (5.73 / 3.08)
 	Percentile (%)	13.602	-	12.703	9.429	69.833	9.549
threonine-tRNA ligase activity	FC (WS / NS)	0.26 (12.8 / 10.5)	-1.8 (0 / 2.49)	0.15 (6.94 / 6.15)	0.17 (7.08 / 6.17)	-	0.15 (7.43 / 6.58)
 	Percentile (%)	13.649	88.896	27.558	25.238	-	28.521
purine-nucleoside phosphorylase activity	FC (WS / NS)	0.26 (12.83 / 10.53)	-1.5 (1 / 4.66)	0.09 (7.42 / 6.88)	-	-0.29 (-4.64 / -5.44)	0.07 (6.41 / 6.08)
 	Percentile (%)	13.743	85.246	32.364	-	74.474	44.411
ammonia ligase activity	FC (WS / NS)	0.26 (13.33 / 10.95)	0.08 (5.52 / 5.15)	0.3 (9.81 / 7.78)	0.37 (8.39 / 6.29)	-0.74 (-5 / -7.69)	0.36 (7.75 / 5.81)
 	Percentile (%)	13.79	35.502	20.05	15.492	90.863	17.469
acid-ammonia (or amide) ligase activity	FC (WS / NS)	0.26 (13.34 / 10.97)	0.23 (6.89 / 5.74)	0.23 (11.12 / 9.36)	0.31 (9.08 / 7.14)	-0.76 (-4.86 / -7.55)	0.31 (7.94 / 6.23)
 	Percentile (%)	13.837	22.799	23.095	17.429	91.226	18.997
ribonucleoside-triphosphate reductase activity	FC (WS / NS)	0.26 (10.72 / 8.78)	0.19 (6.36 / 5.43)	0.23 (7.38 / 6.13)	0.37 (6.49 / 4.81)	-0.39 (-6.43 / -8.11)	0.28 (6.74 / 5.36)
 	Percentile (%)	13.884	23.777	22.728	15.46	80.711	20.15
ferric iron binding	FC (WS / NS)	0.26 (15.97 / 13.19)	-0.48 (4.32 / 6.41)	0.09 (10.33 / 9.68)	0.07 (8.55 / 8.11)	0.33 (-0.41 / -0.53)	0.06 (8.89 / 8.46)
 	Percentile (%)	14.024	67.806	33.188	38.063	11.53	44.687
enoyl-CoA hydratase activity	FC (WS / NS)	0.26 (3.98 / 3.17)	-	-0.24 (6.29 / 7.6)	1.14 (4.7 / 1.58)	-0.19 (-9.1 / -10.24)	0.98 (5.36 / 2.23)
 	Percentile (%)	14.259	-	81.575	6.54	64.394	7.444
aspartate-tRNA(Asn) ligase activity	FC (WS / NS)	0.25 (10.85 / 8.95)	-	-	-	-	0.25 (6.38 / 5.19)
 	Percentile (%)	14.306	-	-	-	-	22.005
hydrolase activity, hydrolyzing O-glycosyl compounds	FC (WS / NS)	0.25 (9.82 / 8.1)	0.1 (5.32 / 4.91)	0.15 (13.63 / 12.21)	0.31 (9.52 / 7.51)	-0.2 (-6.48 / -7.28)	0.25 (9.06 / 7.48)
 	Percentile (%)	14.681	34.477	27.695	17.651	65.12	22.231
hydrolase activity, acting on glycosyl bonds	FC (WS / NS)	0.25 (9.84 / 8.13)	0.08 (7.17 / 6.71)	0.11 (14.88 / 13.73)	0.16 (10.06 / 8.92)	-0.22 (-5.66 / -6.43)	0.18 (9.2 / 8.02)
 	Percentile (%)	14.728	35.642	30.922	25.937	67.368	26.892
3'-5' exonuclease activity	FC (WS / NS)	0.25 (10.44 / 8.64)	-0.13 (7.47 / 8.29)	-0.08 (10.7 / 11.34)	-	-0.16 (-8.03 / -8.84)	-0.03 (7 / 7.15)
 	Percentile (%)	14.775	58.736	75.257	-	61.784	62.581
acetoin dehydrogenase activity	FC (WS / NS)	0.25 (8.24 / 6.79)	-	-	0.32 (6.88 / 5.32)	-	0.38 (7.61 / 5.63)
 	Percentile (%)	14.822	-	-	17.238	-	17.018
acid phosphatase activity	FC (WS / NS)	0.24 (6.3 / 5.17)	0.82 (4.7 / 2.23)	1 (3 / 1)	-0.62 (3 / 5.13)	0 (-10.4 / -10.43)	-0.13 (5.09 / 5.66)
 	Percentile (%)	14.916	12.828	8.721	80.921	46.628	70.15
uracil phosphoribosyltransferase activity	FC (WS / NS)	0.24 (11.78 / 9.81)	-2.74 (0 / 5.69)	0.1 (7.95 / 7.34)	0.13 (6.98 / 6.29)	-	0.17 (7.33 / 6.38)
 	Percentile (%)	14.962	97.111	31.472	28.571	-	27.043
3-oxo-glutaryl-[acp] methyl ester reductase activity	FC (WS / NS)	0.24 (8.21 / 6.81)	-	-	-	-	0.01 (6.77 / 6.74)
 	Percentile (%)	15.338	-	-	-	-	56.642
3-oxo-pimeloyl-[acp] methyl ester reductase activity	FC (WS / NS)	0.24 (8.21 / 6.81)	-	-	-	-	0.01 (6.77 / 6.74)
 	Percentile (%)	15.385	-	-	-	-	56.667
phosphomannomutase activity	FC (WS / NS)	0.23 (10.41 / 8.7)	0.05 (7.65 / 7.36)	0.02 (7.99 / 7.85)	-0.14 (6.13 / 6.83)	-	0.06 (7.2 / 6.88)
 	Percentile (%)	15.432	40.177	44.45	65.587	-	45.84
aspartate kinase activity	FC (WS / NS)	0.23 (6.72 / 5.58)	2.47 (4 / -0.09)	0.32 (7.49 / 5.81)	0.35 (5.13 / 3.81)	-	0.2 (5.46 / 4.61)
 	Percentile (%)	15.478	0.248	19.318	15.937	-	24.536
amino acid kinase activity	FC (WS / NS)	0.23 (6.72 / 5.58)	1.75 (5.39 / 0.91)	0.25 (9.67 / 7.97)	0.33 (6.29 / 4.81)	-	0.16 (5.58 / 4.91)
 	Percentile (%)	15.525	2.935	21.881	17.048	-	28.145
L-lactate dehydrogenase activity	FC (WS / NS)	0.22 (15.08 / 12.77)	-	0.22 (8.01 / 6.73)	0.38 (7.81 / 5.75)	-0.55 (-5.74 / -7.97)	0.38 (7.9 / 5.84)
 	Percentile (%)	15.572	-	23.301	15.016	86.149	16.967
lactate dehydrogenase activity	FC (WS / NS)	0.22 (15.08 / 12.77)	-2.75 (0 / 5.71)	0 (10.76 / 10.78)	0.28 (9.26 / 7.46)	-0.67 (-4.74 / -6.97)	0.37 (7.91 / 5.91)
 	Percentile (%)	15.619	97.127	65.553	18.921	89.63	17.444
ketol-acid reductoisomerase activity	FC (WS / NS)	0.22 (12.86 / 10.92)	0.5 (7.64 / 5.11)	0.46 (7.61 / 5.25)	0.44 (7.64 / 5.39)	-0.68 (-4.57 / -6.69)	0.42 (7.77 / 5.55)
 	Percentile (%)	15.666	15.825	16.182	13.492	89.775	15.514
precorrin-6A reductase activity	FC (WS / NS)	0.22 (4.81 / 4)	-	0.56 (2.81 / 1.58)	-	-0.07 (-7.28 / -7.6)	0.35 (3.46 / 2.49)
 	Percentile (%)	15.713	-	14.992	-	53.807	17.719
S-methyl-5-thioadenosine phosphorylase activity	FC (WS / NS)	0.22 (4.81 / 4)	-	0.44 (5.21 / 3.58)	-	-0.26 (-8.73 / -10.25)	1.13 (3.17 / 0.91)
 	Percentile (%)	15.76	-	16.342	-	71.284	6.591
damaged DNA binding	FC (WS / NS)	0.21 (11.38 / 9.71)	-1.69 (0 / 2.23)	-0.04 (9.78 / 10.05)	-	0.04 (-11.02 / -10.73)	-0.03 (6.73 / 6.89)
 	Percentile (%)	15.807	88.166	72.419	-	41.624	62.857
D-glucosamine PTS permease activity	FC (WS / NS)	0.21 (11.91 / 10.18)	-	-	-	-	0.19 (8.68 / 7.5)
 	Percentile (%)	15.854	-	-	-	-	26.065
xanthine dehydrogenase activity	FC (WS / NS)	0.21 (3.14 / 2.58)	1.51 (1.58 / -0.09)	0.61 (6 / 3.58)	0.24 (5.09 / 4.17)	0.01 (-8.8 / -8.72)	0.15 (5.04 / 4.43)
 	Percentile (%)	15.901	4.985	14.42	21.397	44.017	28.496
transferase activity, transferring pentosyl groups	FC (WS / NS)	0.2 (13.5 / 11.58)	-0.06 (7.88 / 8.28)	0.04 (13.17 / 12.78)	0.07 (9.21 / 8.76)	-0.33 (-4.19 / -5.02)	0.07 (9.05 / 8.57)
 	Percentile (%)	15.947	56.235	40.558	38.571	76.94	42.13
glucose-6-phosphate isomerase activity	FC (WS / NS)	0.19 (15.66 / 13.59)	0.03 (3 / 2.91)	0.26 (7.35 / 5.95)	0.21 (7.21 / 6.11)	-0.15 (-3.43 / -3.7)	0.24 (7.56 / 6.26)
 	Percentile (%)	16.182	42.351	21.401	23.175	60.696	22.807
phosphoglucomutase activity	FC (WS / NS)	0.19 (12.88 / 11.17)	0.05 (7.65 / 7.38)	0.02 (9.02 / 8.85)	0.12 (7.38 / 6.73)	-	0.14 (7.61 / 6.79)
 	Percentile (%)	16.229	40.938	43.763	30	-	30.1
alanine dehydrogenase activity	FC (WS / NS)	0.19 (13.79 / 11.98)	0.09 (6.36 / 5.91)	0.05 (6.27 / 6.02)	0.09 (6.41 / 5.95)	-0.24 (-8.36 / -9.7)	0.05 (6.43 / 6.15)
 	Percentile (%)	16.276	34.881	38.59	33.651	68.963	46.19
ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	FC (WS / NS)	0.19 (14.17 / 12.32)	-0.61 (3.32 / 5.58)	0.06 (8.58 / 8.17)	0.18 (7.48 / 6.49)	-0.61 (-3.87 / -5.38)	0.09 (7.1 / 6.62)
 	Percentile (%)	16.604	70.508	35.66	24.825	88.035	39.574
ribonucleoside-diphosphate reductase activity	FC (WS / NS)	0.19 (14.17 / 12.32)	-0.61 (3.32 / 5.58)	0.06 (8.58 / 8.17)	0.12 (8.2 / 7.45)	-0.61 (-3.87 / -5.38)	0.09 (7.1 / 6.62)
 	Percentile (%)	16.651	70.523	35.706	29.206	88.18	39.599
oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor	FC (WS / NS)	0.19 (14.3 / 12.44)	-0.03 (7.18 / 7.32)	0.07 (10.26 / 9.72)	0.12 (9.11 / 8.29)	-0.8 (-3.08 / -4.63)	0.14 (7.93 / 7.12)
 	Percentile (%)	16.698	53.906	34.653	29.524	91.733	35.163
glucose-1-phosphate thymidylyltransferase activity	FC (WS / NS)	0.18 (11.31 / 9.83)	0.36 (4.75 / 3.49)	0.28 (4.95 / 3.91)	0.29 (4.75 / 3.7)	-	0.37 (5.09 / 3.71)
 	Percentile (%)	16.745	18.605	20.691	18.222	-	17.393
DNA topoisomerase activity	FC (WS / NS)	0.18 (14.65 / 12.84)	0.06 (8.39 / 7.99)	0.04 (11.03 / 10.69)	0.07 (8.71 / 8.25)	-0.29 (-7.78 / -9.3)	0.07 (7.79 / 7.36)
 	Percentile (%)	17.073	38.313	40.238	37.492	74.837	41.679
DNA topoisomerase type II (ATP-hydrolyzing) activity	FC (WS / NS)	0.18 (14.65 / 12.84)	0.09 (6.73 / 6.25)	0.03 (9.01 / 8.78)	0.09 (7.06 / 6.58)	-0.27 (-8.36 / -9.88)	0.06 (7.31 / 6.98)
 	Percentile (%)	17.12	34.804	41.794	34.857	72.661	45.614
methylmalonyl-CoA decarboxylase activity	FC (WS / NS)	0.18 (6.89 / 5.98)	-	-	-	-	0.16 (7.02 / 6.19)
 	Percentile (%)	17.167	-	-	-	-	28.12
protein histidine kinase activity	FC (WS / NS)	0.18 (7.35 / 6.39)	0.05 (2 / 1.91)	-0.01 (10.46 / 10.54)	0.31 (6.09 / 4.7)	0.07 (-9.25 / -8.86)	-0.09 (7.14 / 7.67)
 	Percentile (%)	17.214	40.612	67.659	17.27	36.331	67.694
phosphopentomutase activity	FC (WS / NS)	0.17 (14.5 / 12.76)	0.31 (6.78 / 5.26)	0.34 (6.83 / 5.17)	0.33 (6.71 / 5.13)	-0.36 (-7.14 / -8.88)	0.36 (6.85 / 5.11)
 	Percentile (%)	17.542	19.801	18.631	16.889	78.825	17.494
phosphorelay sensor kinase activity	FC (WS / NS)	0.17 (7.32 / 6.39)	0.07 (1 / 0.91)	-0.01 (9.4 / 9.49)	0.37 (5.09 / 3.7)	0.06 (-10.25 / -9.86)	-0.09 (7.14 / 7.67)
 	Percentile (%)	17.589	36.698	68.368	15.302	37.418	67.669
exonuclease activity	FC (WS / NS)	0.17 (13.54 / 11.92)	-0.08 (9.32 / 9.92)	-0.05 (13.38 / 13.91)	0.06 (9.87 / 9.4)	-0.17 (-6.93 / -7.66)	0.08 (8.45 / 7.95)
 	Percentile (%)	17.683	56.919	73.655	38.857	62.437	40.677
5'-3' exoribonuclease activity	FC (WS / NS)	0.17 (13.36 / 11.77)	-	-	0.34 (6.77 / 5.13)	-	0.33 (6.91 / 5.3)
 	Percentile (%)	17.73	-	-	16.254	-	18.346
5'-3' exonuclease activity	FC (WS / NS)	0.17 (13.36 / 11.77)	-2.03 (0 / 3.08)	0 (5.7 / 5.7)	0.26 (7.85 / 6.39)	-	0.28 (6.94 / 5.55)
 	Percentile (%)	17.777	91.101	56.237	19.492	-	20.426
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity	FC (WS / NS)	0.17 (9.56 / 8.39)	-0.05 (5.81 / 6.06)	0.6 (6.29 / 3.81)	-	-0.21 (-6.53 / -7.41)	0 (6.78 / 6.78)
 	Percentile (%)	17.824	55.692	14.58	-	66.062	57.769
exoribonuclease activity	FC (WS / NS)	0.17 (13.36 / 11.79)	-0.12 (8.06 / 8.84)	-0.11 (9.79 / 10.66)	0.34 (6.77 / 5.13)	0.01 (-10.18 / -10.14)	0.22 (7.02 / 5.91)
 	Percentile (%)	17.871	58.239	77.066	16.222	44.743	24.01
exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	FC (WS / NS)	0.17 (13.36 / 11.79)	-0.08 (8.33 / 8.87)	-0.07 (11.01 / 11.61)	0.08 (8.68 / 8.13)	0.01 (-10.18 / -10.14)	0.16 (7.41 / 6.52)
 	Percentile (%)	17.917	56.903	74.868	35.206	44.815	27.92
exoribonuclease activity, producing 5'-phosphomonoesters	FC (WS / NS)	0.17 (13.36 / 11.79)	-0.13 (7.46 / 8.25)	-0.12 (8.94 / 9.81)	0.34 (6.77 / 5.13)	0.01 (-10.77 / -10.72)	0.22 (7.02 / 5.91)
 	Percentile (%)	17.964	58.643	77.638	16.286	45.105	24.035
single-stranded DNA binding	FC (WS / NS)	0.17 (12.28 / 10.83)	-0.01 (6.3 / 6.35)	-0.02 (8.24 / 8.37)	-	-0.13 (-5.51 / -5.94)	-0.03 (6.92 / 7.07)
 	Percentile (%)	18.011	52.757	70.108	-	59.391	62.18
adenylosuccinate synthase activity	FC (WS / NS)	0.17 (11.53 / 10.17)	-2.08 (0 / 3.23)	0.06 (6.71 / 6.38)	-	0.1 (-8.21 / -7.74)	0.05 (6.82 / 6.56)
 	Percentile (%)	18.058	91.319	35.431	-	32.777	47.794
ADP binding	FC (WS / NS)	0.16 (10.11 / 8.92)	-0.47 (3.17 / 4.76)	-	0.01 (9.66 / 9.58)	-	0.19 (5.39 / 4.61)
 	Percentile (%)	18.199	67.65	-	49.397	-	26.015
glutamate-tRNA ligase activity	FC (WS / NS)	0.16 (11.66 / 10.33)	-0.6 (1.58 / 2.91)	-0.01 (6.77 / 6.81)	-	-	-0.06 (6.51 / 6.82)
 	Percentile (%)	18.34	70.384	66.789	-	-	64.962
carbohydrate kinase activity	FC (WS / NS)	0.15 (15.23 / 13.62)	0.21 (8.98 / 7.65)	0.11 (12.11 / 11.17)	0.13 (9.41 / 8.54)	0.19 (-5.39 / -4.86)	0.17 (8.25 / 7.22)
 	Percentile (%)	19.043	23.466	31.06	28.984	22.117	27.268
tyrosine-tRNA ligase activity	FC (WS / NS)	0.15 (11.79 / 10.53)	0.19 (5.83 / 4.99)	0.11 (5.61 / 5.13)	-	-0.14 (-6.28 / -6.81)	0.1 (6.09 / 5.61)
 	Percentile (%)	19.09	24.01	30.716	-	60.406	38.521
phosphofructokinase activity	FC (WS / NS)	0.15 (15.13 / 13.57)	0.25 (7.95 / 6.52)	0.19 (9.59 / 8.32)	0.18 (7.94 / 6.88)	0.22 (-6.34 / -5.59)	0.23 (7.58 / 6.33)
 	Percentile (%)	19.184	22.053	25.452	24.73	18.564	23.383
