GO Term	Fold Change	Unipept	EggNOG	MEGAN	MetaGOmics	MPA	Prophane
 	Percentile (%)	7.519	23.979	-	66.952	10.507	-
N-acetyl-beta-D-galactosaminidase activity	FC (WS / NS)	0.95 (3.81 / 1.49)	-	-	-	-0.3 (-0.19 / 0)	-
 	Percentile (%)	7.544	-	-	-	71.388	-
carbon-monoxide dehydrogenase (ferredoxin) activity	FC (WS / NS)	0.92 (3.7 / 1.49)	-	-	2.55 (4.86 / 0)	-	-
 	Percentile (%)	7.569	-	-	0.825	-	-
O-phospho-L-serine:2-oxoglutarate aminotransferase activity	FC (WS / NS)	0.91 (2.58 / 0.91)	1.14 (1 / -0.09)	1 (1 / 0)	-	-	-
 	Percentile (%)	7.644	6.973	8.858	-	-	-
dTDP-4-dehydrorhamnose 3,5-epimerase activity	FC (WS / NS)	0.89 (4.39 / 1.91)	-0.93 (0 / 0.91)	0.83 (4.32 / 2)	1.37 (4.17 / 1)	1.49 (1.81 / 0)	-
 	Percentile (%)	7.92	75.462	12.978	5.492	7.598	-
glutamate-5-semialdehyde dehydrogenase activity	FC (WS / NS)	0.88 (3.58 / 1.49)	1.99 (2.58 / -0.09)	1.32 (4 / 1)	2.06 (3.17 / 0)	-	-
 	Percentile (%)	7.945	1.895	7.645	3.429	-	-
proline dipeptidase activity	FC (WS / NS)	0.85 (6.64 / 3.23)	-	-	0.92 (6.19 / 2.81)	1.49 (1.81 / 0)	-
 	Percentile (%)	7.995	-	-	7.841	8.537	-
preQ1 synthase activity	FC (WS / NS)	0.84 (3.46 / 1.49)	-	-	2.06 (3.17 / 0)	-	-
 	Percentile (%)	8.12	-	-	3.651	-	-
carbon-oxygen lyase activity, acting on phosphates	FC (WS / NS)	0.83 (6.27 / 3.08)	0.45 (4.32 / 2.91)	0.47 (9.79 / 6.78)	2.74 (5.7 / 0)	0.86 (0.81 / 0)	-
 	Percentile (%)	8.221	16.555	16.045	0.317	9.334	-
acetoacetyl-CoA reductase activity	FC (WS / NS)	0.82 (5.55 / 2.71)	0.48 (5.83 / 3.91)	-	-	0.49 (1.81 / 1)	-
 	Percentile (%)	8.246	15.95	-	-	10.929	-
diaminopimelate decarboxylase activity	FC (WS / NS)	0.8 (2.32 / 0.91)	1.73 (2 / -0.09)	1.58 (2 / 0)	-	-	-
 	Percentile (%)	8.421	3.355	4.623	-	-	-
3-deoxy-7-phosphoheptulonate synthase activity	FC (WS / NS)	0.8 (5.78 / 2.91)	2.73 (5 / -0.09)	0.64 (6.49 / 3.81)	0.79 (5.58 / 2.81)	-	-
 	Percentile (%)	8.571	0.078	14.168	8.984	-	-
3-dehydroquinate synthase activity	FC (WS / NS)	0.79 (4.58 / 2.23)	-	0.61 (7.23 / 4.39)	2.32 (4 / 0)	0.86 (0.81 / 0)	-
 	Percentile (%)	8.596	-	14.511	1.587	8.865	-
guanine deaminase activity	FC (WS / NS)	0.78 (4 / 1.91)	-	0.23 (5.25 / 4.32)	0.92 (3.91 / 1.58)	2.45 (4.46 / 0)	-
 	Percentile (%)	8.672	-	22.82	7.714	5.394	-
rRNA (adenine-N6-)-methyltransferase activity	FC (WS / NS)	0.78 (4 / 1.91)	-	0.67 (4.7 / 2.58)	0.7 (4.81 / 2.58)	-0.3 (-0.19 / 0)	-
 	Percentile (%)	8.697	-	14.031	9.968	70.263	-
16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity	FC (WS / NS)	0.78 (4 / 1.91)	-	0.86 (3.7 / 1.58)	0.9 (3.81 / 1.58)	-0.3 (-0.19 / 0)	-
 	Percentile (%)	8.772	-	12.657	8	71.154	-
adenosylhomocysteinase activity	FC (WS / NS)	0.77 (4.95 / 2.49)	-	0.72 (4.46 / 2.32)	0.71 (4.86 / 2.58)	0.14 (7.98 / 7.17)	-0.06 (-7.98 / -8.26)
 	Percentile (%)	8.797	-	13.71	9.841	20.075	51.922
hydrolase activity, acting on ether bonds	FC (WS / NS)	0.77 (4.95 / 2.49)	-	0.62 (7.16 / 4.32)	0.53 (6.44 / 4.17)	0.14 (7.98 / 7.17)	-0.06 (-7.4 / -7.68)
 	Percentile (%)	8.847	-	14.305	12.032	20.122	52.647
trialkylsulfonium hydrolase activity	FC (WS / NS)	0.77 (4.95 / 2.49)	-	0.58 (5.46 / 3.32)	0.58 (5.86 / 3.58)	0.14 (7.98 / 7.17)	-0.06 (-7.66 / -7.94)
 	Percentile (%)	8.872	-	14.74	11.524	20.169	52.212
tRNA adenylyltransferase activity	FC (WS / NS)	0.77 (4.95 / 2.49)	-	0.22 (4.58 / 3.81)	0.86 (4.46 / 2)	-0.25 (6.14 / 7.46)	-
 	Percentile (%)	8.997	-	23.575	8.254	68.011	-
RNA adenylyltransferase activity	FC (WS / NS)	0.77 (4.95 / 2.49)	-	0.22 (4.58 / 3.81)	0.69 (5.46 / 3)	-0.25 (6.14 / 7.46)	-
 	Percentile (%)	9.023	-	23.644	10	68.058	-
cytosolic dipeptidase activity	FC (WS / NS)	0.76 (4.46 / 2.23)	-	-	-	-	-
 	Percentile (%)	9.048	-	-	-	-	-
alanylglutamate dipeptidase activity	FC (WS / NS)	0.76 (4.46 / 2.23)	-	-	-	-	-
 	Percentile (%)	9.073	-	-	-	-	-
DNA primase activity	FC (WS / NS)	0.74 (3.17 / 1.49)	1.14 (1 / -0.09)	-0.25 (3.81 / 4.7)	-	2.63 (5.21 / 0)	-
 	Percentile (%)	9.323	6.942	81.758	-	4.69	-
dihydrofolate reductase activity	FC (WS / NS)	0.73 (3.81 / 1.91)	2.14 (3 / -0.09)	1.23 (3.7 / 1)	2.2 (3.58 / 0)	-	-
 	Percentile (%)	9.524	1.18	7.759	2.73	-	-
diaminopimelate dehydrogenase activity	FC (WS / NS)	0.72 (5.73 / 3.08)	-	0.85 (5.46 / 2.58)	0.76 (5.75 / 3)	0.27 (8.52 / 6.92)	-0.25 (-8.83 / -10.28)
 	Percentile (%)	9.549	-	12.703	9.429	13.602	69.833
peptidoglycan glycosyltransferase activity	FC (WS / NS)	0.72 (5.13 / 2.71)	0.8 (2.32 / 0.91)	0.09 (6.83 / 6.34)	-	1.26 (1.4 / 0)	-
 	Percentile (%)	9.624	13.014	32.456	-	8.771	-
phosphoenolpyruvate carboxylase activity	FC (WS / NS)	0.72 (5.98 / 3.23)	1.38 (5.46 / 1.49)	1.34 (5.52 / 1.58)	1.18 (5.81 / 2)	3.4 (9.56 / 0)	-
 	Percentile (%)	9.649	5.358	7.622	6.381	0.188	-
3-isopropylmalate dehydrogenase activity	FC (WS / NS)	0.69 (3.7 / 1.91)	2 (3 / 0)	1.11 (3.32 / 1)	2.2 (3.58 / 0)	-	-
 	Percentile (%)	9.825	1.584	7.919	2.698	-	-
iron-chelate-transporting ATPase activity	FC (WS / NS)	0.69 (3.7 / 1.91)	-	0 (0 / 0)	-	-1 (0 / 1)	-
 	Percentile (%)	9.85	-	58	-	81.191	-
ferric dicitrate transporter activity	FC (WS / NS)	0.69 (3.7 / 1.91)	-	-	-	-1 (0 / 1)	-
 	Percentile (%)	9.875	-	-	-	81.473	-
polynucleotide adenylyltransferase activity	FC (WS / NS)	0.69 (5 / 2.71)	-0.52 (1.58 / 2.71)	0.19 (5.17 / 4.39)	0.62 (6.04 / 3.58)	-0.25 (6.14 / 7.46)	-
 	Percentile (%)	9.9	68.691	25.04	10.984	67.964	-
malate synthase activity	FC (WS / NS)	0.68 (3 / 1.49)	-	-	-	-	-
 	Percentile (%)	9.925	-	-	-	-	-
polyol transmembrane transporter activity	FC (WS / NS)	0.68 (3 / 1.49)	-0.16 (3.91 / 4.49)	0.01 (7.73 / 7.67)	-	0.86 (0.81 / 0)	-0.01 (-8.39 / -8.45)
 	Percentile (%)	9.95	59.668	48.707	-	9.24	47.571
mannitol transmembrane transporter activity	FC (WS / NS)	0.68 (3 / 1.49)	-	-	-	-	-
 	Percentile (%)	9.975	-	-	-	-	-
protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity	FC (WS / NS)	0.68 (3 / 1.49)	-	-	-	-	-
 	Percentile (%)	10	-	-	-	-	-
diacetyl reductase ((S)-acetoin forming) activity	FC (WS / NS)	0.68 (6 / 3.36)	-	-	0.37 (5.88 / 4.32)	1.26 (1.4 / 0)	-
 	Percentile (%)	10.025	-	-	15.397	8.818	-
transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer	FC (WS / NS)	0.68 (4.58 / 2.49)	-	0.16 (7.82 / 6.91)	2.89 (6.39 / 0)	-	-
 	Percentile (%)	10.075	-	26.94	0.19	-	-
exo-alpha-(2->3)-sialidase activity	FC (WS / NS)	0.68 (5.25 / 2.91)	-	1 (1 / 0)	-	-	-
 	Percentile (%)	10.1	-	11.627	-	-	-
exo-alpha-(2->6)-sialidase activity	FC (WS / NS)	0.68 (5.25 / 2.91)	-	1 (1 / 0)	-	-	-
 	Percentile (%)	10.125	-	11.65	-	-	-
exo-alpha-(2->8)-sialidase activity	FC (WS / NS)	0.68 (5.25 / 2.91)	-	1 (1 / 0)	-	-	-
 	Percentile (%)	10.15	-	11.673	-	-	-
lysozyme activity	FC (WS / NS)	0.66 (4.52 / 2.49)	-	0 (0 / 0)	-	2.43 (4.4 / 0)	-
 	Percentile (%)	10.175	-	53.765	-	5.769	-
GMP reductase activity	FC (WS / NS)	0.66 (3.58 / 1.91)	-	-0.2 (3.7 / 4.39)	-	0.02 (8.73 / 8.61)	-0.44 (-4.17 / -5.3)
 	Percentile (%)	10.201	-	80.385	-	37.992	82.959
prephenate dehydratase activity	FC (WS / NS)	0.66 (3.58 / 1.91)	0.14 (0 / -0.09)	2.2 (3.58 / 0)	-	-	-
 	Percentile (%)	10.226	26.091	1.488	-	-	-
DNA clamp loader activity	FC (WS / NS)	0.65 (2 / 0.91)	-	1.37 (1.58 / 0)	-	-	-
 	Percentile (%)	10.276	-	6.088	-	-	-
isocitrate dehydrogenase activity	FC (WS / NS)	0.65 (2 / 0.91)	-	0.83 (4.32 / 2)	-	-	-
 	Percentile (%)	10.301	-	12.955	-	-	-
isocitrate dehydrogenase (NADP+) activity	FC (WS / NS)	0.65 (2 / 0.91)	-	-	-	-	-
 	Percentile (%)	10.326	-	-	-	-	-
drug transmembrane transporter activity	FC (WS / NS)	0.65 (2 / 0.91)	-1.32 (0 / 1.49)	0.35 (3.58 / 2.58)	0.13 (5.98 / 5.36)	-	-
 	Percentile (%)	10.376	83.895	18.402	28.063	-	-
pyrimidine-nucleoside phosphorylase activity	FC (WS / NS)	0.65 (2 / 0.91)	-	1.37 (1.58 / 0)	-	-	-
 	Percentile (%)	10.401	-	6.661	-	-	-
protein-DNA loading ATPase activity	FC (WS / NS)	0.65 (2 / 0.91)	-	1.84 (2.58 / 0)	-	-	-
 	Percentile (%)	10.451	-	3.616	-	-	-
telomeric DNA binding	FC (WS / NS)	0.65 (2 / 0.91)	-	-1 (0 / 1)	-	-	-
 	Percentile (%)	10.501	-	90.501	-	-	-
host cell surface receptor binding	FC (WS / NS)	0.65 (2 / 0.91)	-	-	-	-	-
 	Percentile (%)	10.576	-	-	-	-	-
host cell surface binding	FC (WS / NS)	0.65 (2 / 0.91)	-	-	0.18 (8.91 / 7.75)	-	-
 	Percentile (%)	10.602	-	-	24.794	-	-
toxin activity	FC (WS / NS)	0.65 (2 / 0.91)	-	-	0.29 (6.61 / 5.25)	-	-
 	Percentile (%)	10.777	-	-	18.73	-	-
dihydroxy-acid dehydratase activity	FC (WS / NS)	0.65 (6.83 / 3.99)	0.72 (6.41 / 3.49)	0.8 (6.74 / 3.46)	0.73 (6.61 / 3.58)	0.37 (11.68 / 8.81)	-
 	Percentile (%)	10.802	13.589	13.092	9.651	12.336	-
nucleoside diphosphate kinase activity	FC (WS / NS)	0.64 (5.36 / 3.08)	0.39 (7.38 / 5.4)	0.71 (5.21 / 2.81)	0.25 (5.13 / 4.17)	2.45 (4.46 / 0)	-
 	Percentile (%)	10.877	18.186	13.779	20.603	5.066	-
glutamate dehydrogenase (NADP+) activity	FC (WS / NS)	0.63 (4.39 / 2.49)	0.33 (6.89 / 5.3)	-	0.52 (6.94 / 4.52)	0.86 (0.81 / 0)	-
 	Percentile (%)	11.028	19.46	-	12.063	9.006	-
morphine 6-dehydrogenase activity	FC (WS / NS)	0.62 (3.46 / 1.91)	-	-	-	-1.67 (-0.19 / 1.58)	-
 	Percentile (%)	11.103	-	-	-	84.381	-
nicotinate-nucleotide adenylyltransferase activity	FC (WS / NS)	0.61 (2.81 / 1.49)	0.61 (2.81 / 1.49)	0.61 (4.46 / 2.58)	-	-	-
 	Percentile (%)	11.178	14.847	14.534	-	-	-
tRNA dimethylallyltransferase activity	FC (WS / NS)	0.61 (2.81 / 1.49)	-	1 (1 / 0)	-	-	-
 	Percentile (%)	11.278	-	11.536	-	-	-
DNA replication origin binding	FC (WS / NS)	0.61 (4.32 / 2.49)	2.44 (3.91 / -0.09)	2.32 (4 / 0)	2.32 (4 / 0)	-	-
 	Percentile (%)	11.303	0.357	0.984	1.556	-	-
guanylate kinase activity	FC (WS / NS)	0.61 (4.32 / 2.49)	0.48 (4.17 / 2.71)	0.37 (4.39 / 3.17)	0.81 (4.25 / 2)	1.49 (1.81 / 0)	-
 	Percentile (%)	11.328	15.981	17.693	8.698	7.364	-
L-aspartate:2-oxoglutarate aminotransferase activity	FC (WS / NS)	0.61 (6.02 / 3.61)	0 (5.17 / 5.15)	0.08 (7.99 / 7.48)	-0.36 (4.17 / 5.64)	-	-
 	Percentile (%)	11.378	46.079	33.28	76.063	-	-
acetolactate synthase activity	FC (WS / NS)	0.6 (4.91 / 2.91)	0.14 (0 / -0.09)	1.29 (7.79 / 2.58)	1.52 (4.75 / 1)	-3.07 (0 / 7.4)	-
 	Percentile (%)	11.404	25.92	7.691	5.048	92.12	-
phosphate ion transmembrane transporter activity	FC (WS / NS)	0.57 (3.81 / 2.23)	-0.53 (2.32 / 3.81)	0.54 (4.52 / 2.81)	0.79 (4.75 / 2.32)	2.77 (5.81 / 0)	-
 	Percentile (%)	11.454	68.908	15.198	8.921	3.893	-
ATPase-coupled phosphate ion transmembrane transporter activity	FC (WS / NS)	0.57 (3.81 / 2.23)	0 (0 / 0)	1.93 (2.81 / 0)	2.2 (3.58 / 0)	2.77 (5.81 / 0)	-
 	Percentile (%)	11.479	48.051	3.227	2.794	3.94	-
D-alanyl carrier activity	FC (WS / NS)	0.57 (3.81 / 2.23)	-	-	-	-	-
 	Percentile (%)	11.504	-	-	-	-	-
oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor	FC (WS / NS)	0.57 (4.52 / 2.71)	-	-0.17 (4.7 / 5.39)	0.77 (5.13 / 2.58)	0.02 (8.73 / 8.61)	-0.62 (-3.34 / -4.59)
 	Percentile (%)	11.554	-	79.286	9.143	38.039	88.252
4-hydroxybenzoyl-CoA reductase activity	FC (WS / NS)	0.57 (3.32 / 1.91)	-	-	-	-	-
 	Percentile (%)	11.579	-	-	-	-	-
rRNA (cytosine) methyltransferase activity	FC (WS / NS)	0.57 (4.17 / 2.49)	0.78 (4 / 1.91)	2.32 (4 / 0)	1.93 (2.81 / 0)	-	-
 	Percentile (%)	11.629	13.247	1.144	4.19	-	-
thioredoxin peroxidase activity	FC (WS / NS)	0.56 (6.51 / 4.08)	0.56 (6.38 / 3.99)	0.52 (6.43 / 4.17)	-	-0.04 (5.98 / 6.17)	0.03 (-8.49 / -8.36)
 	Percentile (%)	11.654	15.158	15.45	-	49.531	43.075
dihydroorotase activity	FC (WS / NS)	0.56 (5.25 / 3.23)	-	0.52 (5 / 3.17)	0.12 (6.41 / 5.81)	2.77 (5.81 / 0)	-
 	Percentile (%)	11.679	-	15.381	29.302	3.752	-
shikimate kinase activity	FC (WS / NS)	0.56 (4.75 / 2.91)	-0.93 (0 / 0.91)	0.47 (7.78 / 5.32)	0.62 (4.52 / 2.58)	2.58 (4.98 / 0)	-
 	Percentile (%)	11.754	74.623	15.885	10.921	4.831	-
endo-1,4-beta-xylanase activity	FC (WS / NS)	0.56 (4.75 / 2.91)	-	1 (1 / 0)	-	-	-
 	Percentile (%)	11.805	-	10.391	-	-	-
xylanase activity	FC (WS / NS)	0.56 (4.75 / 2.91)	-	-0.09 (2.58 / 2.81)	-	-	-
 	Percentile (%)	11.83	-	75.875	-	-	-
iron chelate transmembrane transporter activity	FC (WS / NS)	0.55 (4.7 / 2.91)	-	-0.22 (4.58 / 5.49)	-	-1.58 (0 / 2)	-
 	Percentile (%)	11.905	-	81.003	-	83.677	-
peptide-methionine (S)-S-oxide reductase activity	FC (WS / NS)	0.54 (4.09 / 2.49)	0 (0 / 0)	1.93 (2.81 / 0)	-	-	-
 	Percentile (%)	11.955	47.414	3.182	-	-	-
bacterial-type RNA polymerase transcriptional repressor activity, sequence-specific DNA binding	FC (WS / NS)	0.54 (4.39 / 2.71)	0.03 (6.73 / 6.59)	-	-	-	-
 	Percentile (%)	12.03	43.485	-	-	-	-
calcium-transporting ATPase activity	FC (WS / NS)	0.54 (4.39 / 2.71)	-	1.43 (4.39 / 1)	2.41 (4.32 / 0)	-	-
 	Percentile (%)	12.055	-	5.791	1.302	-	-
calcium ion transmembrane transporter activity	FC (WS / NS)	0.54 (4.39 / 2.71)	-	1.09 (5.39 / 2)	1.66 (5.32 / 1)	-	-
 	Percentile (%)	12.08	-	8.103	4.635	-	-
beta-galactosidase activity	FC (WS / NS)	0.54 (5.13 / 3.23)	-	1.66 (5.32 / 1)	1.41 (4.32 / 1)	2.8 (5.98 / 0)	-
 	Percentile (%)	12.105	-	4.234	5.397	3.565	-
L-alanine:2-oxoglutarate aminotransferase activity	FC (WS / NS)	0.53 (5.49 / 3.49)	0.6 (5.17 / 3.08)	-	0.61 (5.36 / 3.17)	-0.3 (-0.19 / 0)	-
 	Percentile (%)	12.13	15.049	-	11.143	69.371	-
alanine-oxo-acid transaminase activity	FC (WS / NS)	0.53 (5.49 / 3.49)	0.5 (6.17 / 4.08)	-	0.51 (6.36 / 4.17)	-0.3 (-0.19 / 0)	-
 	Percentile (%)	12.155	15.81	-	12.222	71.013	-
alpha,alpha-phosphotrehalase activity	FC (WS / NS)	0.53 (2.58 / 1.49)	1 (1 / 0)	-	-	-	-
 	Percentile (%)	12.206	8.759	-	-	-	-
GTP-Rho binding	FC (WS / NS)	0.53 (2.58 / 1.49)	-	-	-	-	-
 	Percentile (%)	12.231	-	-	-	-	-
ferredoxin-NADP+ reductase activity	FC (WS / NS)	0.52 (4 / 2.49)	-	0.14 (7.01 / 6.29)	0.58 (5 / 3)	-0.73 (0.81 / 2)	-
 	Percentile (%)	12.456	-	28.473	11.46	79.69	-
ferredoxin-NAD(P) reductase activity	FC (WS / NS)	0.52 (4 / 2.49)	-	0.14 (7.01 / 6.29)	0.58 (5 / 3)	-0.73 (0.81 / 2)	-
 	Percentile (%)	12.481	-	28.496	11.492	79.737	-
oxidoreductase activity, acting on iron-sulfur proteins as donors, NAD or NADP as acceptor	FC (WS / NS)	0.52 (4 / 2.49)	-	0.12 (8.01 / 7.29)	0.49 (6 / 4)	-0.73 (0.81 / 2)	-
 	Percentile (%)	12.506	-	29.732	12.54	79.831	-
galactosidase activity	FC (WS / NS)	0.51 (5.21 / 3.36)	-	0.85 (7.04 / 3.46)	1.09 (5.39 / 2)	2.8 (5.98 / 0)	-
 	Percentile (%)	12.807	-	12.68	6.857	3.612	-
GTP cyclohydrolase I activity	FC (WS / NS)	0.51 (3.58 / 2.23)	-	2.11 (3.32 / 0)	-	-	-
 	Percentile (%)	12.832	-	1.785	-	-	-
precorrin-6Y C5,15-methyltransferase (decarboxylating) activity	FC (WS / NS)	0.51 (3.58 / 2.23)	-	0.37 (4.58 / 3.32)	-	0.14 (5.4 / 4.81)	-0.06 (-6.21 / -6.42)
 	Percentile (%)	12.882	-	17.967	-	19.981	52.139
exo-alpha-sialidase activity	FC (WS / NS)	0.51 (6.88 / 4.55)	-	2 (3 / 0)	-	-	-
 	Percentile (%)	12.957	-	2.655	-	-	-
alpha-sialidase activity	FC (WS / NS)	0.51 (6.88 / 4.55)	-	2.11 (3.32 / 0)	-	-	-
 	Percentile (%)	12.982	-	2.037	-	-	-
pyruvate carboxylase activity	FC (WS / NS)	0.5 (8.41 / 5.63)	-	0.19 (9.44 / 8.15)	0.2 (8.12 / 6.93)	0.78 (11.19 / 6.09)	-0.54 (-5.65 / -7.76)
 	Percentile (%)	13.008	-	25.246	23.683	9.803	85.642
glutamate-ammonia ligase activity	FC (WS / NS)	0.49 (7.55 / 5.08)	-2.2 (0 / 3.61)	0.45 (8.32 / 5.81)	0.5 (7.27 / 4.86)	0.32 (13.3 / 10.49)	-0.72 (-5.15 / -7.84)
 	Percentile (%)	13.083	92.235	16.228	12.317	13.274	90.138
peptide-methionine (R)-S-oxide reductase activity	FC (WS / NS)	0.49 (3.91 / 2.49)	-	1.93 (2.81 / 0)	-	-	-
 	Percentile (%)	13.208	-	3.25	-	-	-
L-phenylalanine aminotransferase activity	FC (WS / NS)	0.49 (6.13 / 4.08)	-	0.08 (9.61 / 9.06)	-0.62 (3.58 / 6.04)	-	-
 	Percentile (%)	13.484	-	34.104	81.016	-	-
L-phenylalanine:2-oxoglutarate aminotransferase activity	FC (WS / NS)	0.49 (6.13 / 4.08)	-	0.08 (8.61 / 8.06)	-0.75 (2.58 / 5.04)	-	-
 	Percentile (%)	13.509	-	33.349	82.349	-	-
(R,R)-butanediol dehydrogenase activity	FC (WS / NS)	0.48 (6.41 / 4.3)	-0.02 (3.17 / 3.23)	-	-	-0.12 (6.68 / 7.34)	-
 	Percentile (%)	13.534	53.533	-	-	61.023	-
aromatic-amino-acid:2-oxoglutarate aminotransferase activity	FC (WS / NS)	0.48 (6.3 / 4.23)	-2.49 (0 / 4.61)	0.06 (8.64 / 8.25)	-0.62 (3.58 / 6.04)	-	-
 	Percentile (%)	13.684	93.555	36.393	80.984	-	-
carbohydrate:proton symporter activity	FC (WS / NS)	0.48 (5.55 / 3.71)	0.51 (5 / 3.23)	0.07 (12.85 / 12.2)	0.35 (5.39 / 4)	-	-0.1 (-6.75 / -7.18)
 	Percentile (%)	13.709	15.686	34.791	15.778	-	57.433
fructose transmembrane transporter activity	FC (WS / NS)	0.48 (5.55 / 3.71)	-	-	0.29 (6.36 / 5)	-	-
 	Percentile (%)	13.734	-	-	18.063	-	-
protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity	FC (WS / NS)	0.48 (5.55 / 3.71)	-	-	0.35 (5.36 / 4)	-	-
 	Percentile (%)	13.759	-	-	16.032	-	-
protein serine/threonine phosphatase activity	FC (WS / NS)	0.47 (4.86 / 3.23)	-	0.79 (4.75 / 2.32)	0.62 (5.64 / 3.32)	-2.88 (0 / 6.34)	-
 	Percentile (%)	13.784	-	13.207	10.952	89.916	-
arsenate reductase (glutaredoxin) activity	FC (WS / NS)	0.47 (5.04 / 3.36)	0 (0 / 0)	0.44 (4.86 / 3.32)	-	-	-
 	Percentile (%)	13.81	47.585	16.32	-	-	-
arsenate reductase activity	FC (WS / NS)	0.47 (5.04 / 3.36)	1 (1 / 0)	0.31 (6.44 / 5)	-	-	-
 	Percentile (%)	13.835	9.458	19.57	-	-	-
oxidoreductase activity, acting on phosphorus or arsenic in donors	FC (WS / NS)	0.47 (5.04 / 3.36)	1.37 (1.58 / 0)	0.33 (6.44 / 4.91)	-	-	-
 	Percentile (%)	13.86	5.839	19.02	-	-	-
oxidoreductase activity, acting on phosphorus or arsenic in donors, disulfide as acceptor	FC (WS / NS)	0.47 (5.04 / 3.36)	1 (1 / 0)	0.37 (5.86 / 4.32)	-	-	-
 	Percentile (%)	13.885	9.474	18.265	-	-	-
biotin carboxylase activity	FC (WS / NS)	0.47 (7.81 / 5.36)	-2.34 (0 / 4.08)	-0.01 (11.44 / 11.54)	-	-0.91 (2.81 / 6.17)	-0.24 (-4.9 / -5.61)
 	Percentile (%)	13.91	92.965	68.322	-	80.769	68.891
oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor	FC (WS / NS)	0.47 (3.46 / 2.23)	-	-1.32 (2 / 6.49)	-	-	-
 	Percentile (%)	13.96	-	92.264	-	-	-
alpha-L-fucosidase activity	FC (WS / NS)	0.47 (3.46 / 2.23)	-	1.73 (2.32 / 0)	1.57 (4.95 / 1)	-	-
 	Percentile (%)	13.985	-	3.914	4.857	-	-
fucosidase activity	FC (WS / NS)	0.47 (3.46 / 2.23)	-	2.11 (3.32 / 0)	1.14 (5.61 / 2)	-	-
 	Percentile (%)	14.01	-	1.968	6.571	-	-
chorismate mutase activity	FC (WS / NS)	0.46 (3.81 / 2.49)	-	1.47 (6.17 / 1.58)	-	-	-
 	Percentile (%)	14.035	-	5.745	-	-	-
3-dehydroquinate dehydratase activity	FC (WS / NS)	0.46 (3 / 1.91)	0.14 (0 / -0.09)	0.73 (6.58 / 3.58)	-	-	-
 	Percentile (%)	14.06	25.827	13.664	-	-	-
3-phosphoshikimate 1-carboxyvinyltransferase activity	FC (WS / NS)	0.46 (3 / 1.91)	-	0.83 (6.39 / 3.17)	-	-	-
 	Percentile (%)	14.085	-	13.024	-	-	-
mucinaminylserine mucinaminidase activity	FC (WS / NS)	0.46 (3 / 1.91)	-	-	0.4 (5.32 / 3.81)	2.27 (3.81 / 0)	-
 	Percentile (%)	14.135	-	-	14.444	6.285	-
toxic substance binding	FC (WS / NS)	0.46 (5.98 / 4.08)	0.4 (5.7 / 4.08)	0.29 (6.88 / 5.46)	0.39 (5.78 / 4.17)	-	-
 	Percentile (%)	14.185	17.751	20.462	14.571	-	-
oxidoreductase activity, acting on iron-sulfur proteins as donors	FC (WS / NS)	0.45 (4.09 / 2.71)	0 (0 / 0)	0.12 (10.72 / 9.76)	0.44 (6.6 / 4.58)	-0.73 (0.81 / 2)	-0.13 (-7.76 / -8.39)
 	Percentile (%)	14.261	48.346	29.503	13.206	79.784	59.318
carbohydrate:cation symporter activity	FC (WS / NS)	0.45 (5.58 / 3.81)	0.4 (6 / 4.3)	0.07 (13.85 / 13.2)	0.3 (6.39 / 5)	-	-0.12 (-5.75 / -6.18)
 	Percentile (%)	14.286	17.705	35.386	17.905	-	58.666
solute:proton symporter activity	FC (WS / NS)	0.45 (5.58 / 3.81)	0.42 (6 / 4.23)	0.07 (13.85 / 13.2)	0.3 (6.39 / 5)	-	-0.12 (-5.75 / -6.18)
 	Percentile (%)	14.311	17.347	35.409	17.937	-	58.738
ATP phosphoribosyltransferase activity	FC (WS / NS)	0.44 (1.58 / 0.91)	0.14 (0 / -0.09)	0 (0 / 0)	-	-	-
 	Percentile (%)	14.436	25.858	53.857	-	-	-
ARF guanyl-nucleotide exchange factor activity	FC (WS / NS)	0.44 (1.58 / 0.91)	-	-	-	-	-
 	Percentile (%)	14.461	-	-	-	-	-
pullulanase activity	FC (WS / NS)	0.44 (1.58 / 0.91)	-	1.37 (1.58 / 0)	0.43 (5.32 / 3.7)	-0.3 (-0.19 / 0)	-
 	Percentile (%)	14.862	-	7.164	13.746	71.06	-
6,7-dihydropteridine reductase activity	FC (WS / NS)	0.44 (5.52 / 3.81)	-0.93 (0 / 0.91)	-	-	1.99 (2.98 / 0)	-
 	Percentile (%)	15.138	74.53	-	-	6.707	-
glutamate dehydrogenase [NAD(P)+] activity	FC (WS / NS)	0.44 (4.52 / 3.08)	-0.22 (7.88 / 9.32)	-	-0.23 (8.52 / 10.16)	0.86 (0.81 / 0)	-
 	Percentile (%)	15.163	60.988	-	69.968	8.959	-
sulfuric ester hydrolase activity	FC (WS / NS)	0.44 (4.52 / 3.08)	-	0.56 (5.13 / 3.17)	1.29 (3.91 / 1)	-	-
 	Percentile (%)	15.188	-	15.084	5.746	-	-
