GO Term	Fold Change	Prophane	EggNOG	MEGAN	MetaGOmics	MPA	Unipept
 	Percentile (%)	75.635	73.723	31.037	86.127	93.715	77.118
glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	FC (WS / NS)	-0.3 (-9.26 / -11.19)	0 (0 / 0)	0.1 (10.19 / 9.46)	0.18 (7.89 / 6.83)	0.02 (14.24 / 13.98)	0.17 (8.02 / 7.01)
 	Percentile (%)	75.78	50.567	31.975	24.667	36.773	27.293
beta-ketoacyl-acyl-carrier-protein synthase II activity	FC (WS / NS)	-0.3 (-5.27 / -6.28)	-2.75 (0 / 5.74)	0.07 (7.49 / 7.07)	0.09 (7.34 / 6.83)	0.11 (15.33 / 14.09)	0.15 (7.67 / 6.84)
 	Percentile (%)	75.997	97.189	34.356	34.032	22.608	30.025
pyruvate synthase activity	FC (WS / NS)	-0.31 (-7.8 / -9.45)	-	-0.12 (9.94 / 10.93)	-0.15 (8.82 / 9.87)	0.86 (0.81 / 0)	-
 	Percentile (%)	76.142	-	77.752	66.381	9.428	-
nuclease activity	FC (WS / NS)	-0.33 (-4.69 / -5.63)	-0.03 (10.48 / 10.7)	-0.05 (15.14 / 15.74)	0.04 (11.11 / 10.75)	0.06 (14.96 / 14.27)	0.06 (9.72 / 9.31)
 	Percentile (%)	76.577	54.17	73.701	43.397	28.612	45.94
serine-type peptidase activity	FC (WS / NS)	-0.33 (-6.51 / -7.91)	-0.04 (7.5 / 7.74)	-0.01 (12.77 / 12.9)	-	-0.26 (12.46 / 15.13)	-0.03 (8.68 / 8.86)
 	Percentile (%)	76.65	55.133	68.894	-	68.293	62.206
folic acid binding	FC (WS / NS)	-0.33 (-6.91 / -8.43)	-	-0.24 (6.78 / 8.21)	-0.35 (5.43 / 7.21)	-0.23 (9.51 / 11.36)	-0.26 (5.52 / 6.79)
 	Percentile (%)	76.722	-	81.643	75.873	67.495	75.363
amide binding	FC (WS / NS)	-0.33 (-6.91 / -8.43)	-0.43 (4.58 / 6.52)	0 (10.9 / 10.9)	-0.09 (8.67 / 9.33)	0.01 (11.52 / 11.45)	0.04 (8.2 / 7.96)
 	Percentile (%)	76.795	66.563	52.873	61.365	39.54	49.424
transferase activity, transferring pentosyl groups	FC (WS / NS)	-0.33 (-4.19 / -5.02)	-0.06 (7.88 / 8.28)	0.04 (13.17 / 12.78)	0.07 (9.21 / 8.76)	0.2 (13.5 / 11.58)	0.07 (9.05 / 8.57)
 	Percentile (%)	76.94	56.235	40.558	38.571	15.947	42.13
glucosamine-1-phosphate N-acetyltransferase activity	FC (WS / NS)	-0.34 (-8.95 / -11.05)	0.03 (6.02 / 5.86)	0.02 (6.09 / 5.98)	-	0.14 (12.94 / 11.68)	0 (6.19 / 6.17)
 	Percentile (%)	77.302	42.553	44.61	-	20.31	57.419
cytidylyltransferase activity	FC (WS / NS)	-0.34 (-8.95 / -11.05)	-0.93 (0 / 0.91)	0.16 (8.85 / 7.79)	2.11 (3.32 / 0)	-3.07 (0 / 7.41)	0.2 (4.75 / 3.99)
 	Percentile (%)	77.592	78.77	26.505	3.302	92.402	24.461
NADH dehydrogenase (quinone) activity	FC (WS / NS)	-0.34 (-8.01 / -9.88)	-0.71 (3 / 5.55)	0.1 (11.03 / 10.24)	-0.89 (2.58 / 5.64)	-3.21 (0 / 8.23)	-0.31 (4.25 / 5.49)
 	Percentile (%)	77.81	71.952	31.907	83.429	93.809	76.642
C-acyltransferase activity	FC (WS / NS)	-0.34 (-3.49 / -4.15)	-0.51 (7.37 / 10.94)	-0.19 (10.96 / 12.64)	-0.24 (9.43 / 11.31)	-0.04 (16.82 / 17.28)	-0.1 (8.21 / 8.85)
 	Percentile (%)	77.883	68.582	79.927	70.286	49.156	68.095
GMP synthase (glutamine-hydrolyzing) activity	FC (WS / NS)	-0.34 (-7.55 / -9.31)	-1.72 (1 / 5.61)	0.06 (6.54 / 6.21)	-	-0.19 (11.7 / 13.53)	0.05 (6.71 / 6.44)
 	Percentile (%)	77.955	88.725	35.569	-	66.088	47.569
thiamine pyrophosphate binding	FC (WS / NS)	-0.34 (-5.8 / -7.1)	-1.42 (1 / 4.36)	-0.07 (12.29 / 12.99)	-0.13 (9.04 / 9.97)	-0.11 (16.44 / 17.81)	-0.13 (9.12 / 10.04)
 	Percentile (%)	78.028	84.936	75.097	65.238	59.897	70.1
modified amino acid binding	FC (WS / NS)	-0.35 (-6.59 / -8.11)	-0.32 (1 / 1.49)	-0.12 (9.37 / 10.3)	-0.14 (7.87 / 8.8)	-0.23 (9.51 / 11.36)	-0.25 (6.11 / 7.47)
 	Percentile (%)	78.1	63.737	77.798	66.095	67.542	75.338
glutamine-fructose-6-phosphate transaminase (isomerizing) activity	FC (WS / NS)	-0.35 (-4.05 / -4.87)	-0.56 (4.39 / 6.97)	-0.08 (7.88 / 8.36)	-	0 (14.84 / 14.86)	-0.06 (7.07 / 7.39)
 	Percentile (%)	78.173	69.856	75.12	-	43.621	64.712
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	FC (WS / NS)	-0.35 (-3.63 / -4.35)	0.15 (8.38 / 7.42)	0.08 (12.72 / 11.98)	0 (7.97 / 7.97)	0.07 (12.31 / 11.64)	0.04 (7.71 / 7.5)
 	Percentile (%)	78.245	24.849	33.692	51.968	26.501	50.15
phosphopentomutase activity	FC (WS / NS)	-0.36 (-7.14 / -8.88)	0.31 (6.78 / 5.26)	0.34 (6.83 / 5.17)	0.33 (6.71 / 5.13)	0.17 (14.5 / 12.76)	0.36 (6.85 / 5.11)
 	Percentile (%)	78.825	19.801	18.631	16.889	17.542	17.494
hydrolase activity, acting on acid phosphorus-nitrogen bonds	FC (WS / NS)	-0.36 (-5.92 / -7.33)	-0.03 (8.24 / 8.45)	-0.02 (13.48 / 13.67)	-	-0.26 (12.46 / 15.13)	-0.03 (8.68 / 8.86)
 	Percentile (%)	78.97	54.527	69.856	-	68.34	62.231
serine hydrolase activity	FC (WS / NS)	-0.36 (-5.92 / -7.33)	-0.03 (8.24 / 8.45)	-0.02 (13.48 / 13.67)	-	-0.26 (12.46 / 15.13)	-0.03 (8.68 / 8.86)
 	Percentile (%)	79.043	54.543	69.879	-	68.386	62.256
oxidoreductase activity, acting on the CH-NH2 group of donors	FC (WS / NS)	-0.37 (-5.8 / -7.19)	-0.2 (9.42 / 10.99)	-0.12 (12.41 / 13.62)	-0.19 (10.06 / 11.65)	0.03 (15.09 / 14.78)	-0.14 (8.79 / 9.81)
 	Percentile (%)	79.188	60.724	77.729	68.317	36.445	70.602
NADH dehydrogenase activity	FC (WS / NS)	-0.37 (-7.43 / -9.3)	-0.64 (3.58 / 6.15)	0.09 (11.66 / 10.88)	-0.89 (2.58 / 5.64)	-0.34 (6.46 / 8.41)	-0.09 (6.43 / 6.93)
 	Percentile (%)	79.26	70.974	32.662	83.397	72.936	67.87
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	FC (WS / NS)	-0.37 (-7.43 / -9.3)	-0.43 (4.32 / 6.17)	0.06 (11.81 / 11.26)	-0.31 (5.58 / 7.15)	-3.35 (0 / 9.2)	-0.34 (4.75 / 6.3)
 	Percentile (%)	79.333	66.579	36.027	73.873	95.826	81.128
malate dehydrogenase (decarboxylating) (NADP+) activity	FC (WS / NS)	-0.38 (-4.13 / -5.06)	-2.41 (0 / 4.3)	0.02 (9.18 / 9.01)	-1.48 (1 / 4.58)	-0.24 (5.98 / 7.26)	0.11 (6.39 / 5.86)
 	Percentile (%)	79.84	93.306	44.06	88.413	67.871	37.719
sulfur compound binding	FC (WS / NS)	-0.38 (-5.16 / -6.41)	-0.45 (4.81 / 6.92)	-0.08 (13.76 / 14.58)	-0.08 (10.41 / 11.04)	-0.11 (16.48 / 17.81)	-0.07 (9.63 / 10.15)
 	Percentile (%)	79.913	67.293	75.28	59.048	59.428	65.915
glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	FC (WS / NS)	-0.38 (-5.33 / -6.65)	-0.44 (4.46 / 6.43)	0.1 (9.51 / 8.78)	0.05 (9.01 / 8.64)	0.4 (8.38 / 6.13)	0.27 (7.65 / 6.19)
 	Percentile (%)	80.058	67.2	31.38	40.794	12.008	21.353
glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity	FC (WS / NS)	-0.38 (-5.33 / -6.65)	-0.44 (4.46 / 6.43)	0.1 (9.51 / 8.78)	0.07 (10.18 / 9.64)	0.4 (8.38 / 6.13)	0.27 (7.65 / 6.19)
 	Percentile (%)	80.276	67.215	31.403	36.921	12.054	21.378
erythrose-4-phosphate dehydrogenase activity	FC (WS / NS)	-0.38 (-5.33 / -6.65)	-	0.1 (9.51 / 8.78)	-	-	-
 	Percentile (%)	80.421	-	31.426	-	-	-
L-glutamine aminotransferase activity	FC (WS / NS)	-0.38 (-3.72 / -4.55)	-0.49 (5.39 / 7.97)	-0.07 (9.56 / 10.1)	-	0 (14.84 / 14.86)	-0.06 (7.07 / 7.39)
 	Percentile (%)	80.638	67.961	74.96	-	43.668	64.737
ribonucleoside-triphosphate reductase activity	FC (WS / NS)	-0.39 (-6.43 / -8.11)	0.19 (6.36 / 5.43)	0.23 (7.38 / 6.13)	0.37 (6.49 / 4.81)	0.26 (10.72 / 8.78)	0.28 (6.74 / 5.36)
 	Percentile (%)	80.711	23.777	22.728	15.46	13.884	20.15
iron-sulfur cluster binding	FC (WS / NS)	-0.39 (-2.67 / -3.18)	0.1 (8.7 / 8.08)	-0.03 (17.07 / 17.47)	-0.07 (11.66 / 12.33)	-0.12 (18.14 / 19.73)	-0.1 (10.65 / 11.52)
 	Percentile (%)	80.783	34.695	72.007	58.73	60.788	68.571
adenylate kinase activity	FC (WS / NS)	-0.39 (-5.76 / -7.25)	0.11 (7.26 / 6.66)	0.06 (6.98 / 6.64)	-	0.02 (12.85 / 12.63)	0.09 (7.12 / 6.63)
 	Percentile (%)	81.001	34.089	36.21	-	37.195	39.449
nucleoside monophosphate kinase activity	FC (WS / NS)	-0.39 (-5.76 / -7.25)	0 (7.94 / 7.91)	0.01 (8.13 / 8.09)	0.87 (5.55 / 2.58)	-0.12 (13.07 / 14.28)	0.08 (8.04 / 7.57)
 	Percentile (%)	81.218	46.032	50.607	8.222	61.116	41.128
active transmembrane transporter activity	FC (WS / NS)	-0.39 (0.63 / 1.15)	0.05 (12.63 / 12.19)	0.02 (18.91 / 18.62)	0 (12.68 / 12.68)	0.01 (14.46 / 14.4)	0.06 (10.21 / 9.76)
 	Percentile (%)	81.363	40.457	45.09	51.841	40.009	45.464
oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor	FC (WS / NS)	-0.4 (-5.16 / -6.47)	-	-0.11 (12.09 / 13.09)	-0.12 (10.47 / 11.45)	0.49 (1.81 / 1)	0.22 (5.64 / 4.71)
 	Percentile (%)	81.436	-	76.837	64.19	10.882	23.985
transferase activity, transferring glycosyl groups	FC (WS / NS)	-0.41 (-3.54 / -4.39)	-0.06 (9.19 / 9.63)	0.04 (15.59 / 15.09)	0.12 (11.38 / 10.42)	0.29 (15.12 / 12.15)	0.09 (10.43 / 9.73)
 	Percentile (%)	81.798	56.142	39.803	30.095	13.415	39.073
flavin adenine dinucleotide binding	FC (WS / NS)	-0.42 (-4.34 / -5.45)	-0.39 (4.95 / 6.82)	-0.06 (14.47 / 15.16)	-0.12 (9.48 / 10.42)	-0.09 (17.14 / 18.3)	-0.09 (9.69 / 10.42)
 	Percentile (%)	81.871	66.051	74.388	64.794	57.88	67.92
succinate dehydrogenase (ubiquinone) activity	FC (WS / NS)	-0.42 (-5.41 / -6.88)	1.58 (2 / 0)	-0.02 (9.12 / 9.29)	-0.92 (2.32 / 5.29)	-2.72 (0 / 5.58)	-0.65 (3.91 / 6.69)
 	Percentile (%)	82.016	3.743	71	83.937	87.946	87.644
transaminase activity	FC (WS / NS)	-0.42 (-3.46 / -4.29)	-0.2 (8.01 / 9.35)	0.01 (13.52 / 13.43)	0.06 (8.92 / 8.53)	-0.04 (15.17 / 15.6)	0.12 (10.12 / 9.25)
 	Percentile (%)	82.161	60.708	49.92	40.095	49.578	36.642
methionine-tRNA ligase activity	FC (WS / NS)	-0.42 (-5.69 / -7.29)	0.11 (6.36 / 5.84)	0.03 (8.41 / 8.23)	-	-0.08 (13.32 / 14.1)	0.04 (6.66 / 6.43)
 	Percentile (%)	82.379	34.167	42.802	-	56.895	48.797
metalloendopeptidase activity	FC (WS / NS)	-0.43 (-7.31 / -9.5)	0.31 (6.93 / 5.4)	0.14 (11.58 / 10.39)	0.2 (8.08 / 6.91)	-0.02 (14.54 / 14.74)	0.14 (8.37 / 7.51)
 	Percentile (%)	82.669	19.863	27.97	23.905	47.326	35.013
triose-phosphate isomerase activity	FC (WS / NS)	-0.44 (-3.54 / -4.44)	-0.01 (6.15 / 6.21)	-0.04 (6.44 / 6.63)	-	-0.01 (14.02 / 14.14)	-0.03 (6.54 / 6.69)
 	Percentile (%)	82.741	52.881	72.442	-	45.685	62.657
UDP-N-acetylglucosamine diphosphorylase activity	FC (WS / NS)	-0.44 (-6.95 / -9.05)	0.03 (6.02 / 5.86)	0.02 (6.09 / 5.98)	-	0.14 (12.94 / 11.68)	0 (6.19 / 6.17)
 	Percentile (%)	82.814	42.538	44.564	-	20.216	57.343
carbon-nitrogen ligase activity, with glutamine as amido-N-donor	FC (WS / NS)	-0.44 (-6.13 / -7.95)	-0.28 (6.07 / 7.56)	0.05 (12.79 / 12.3)	0.11 (9.53 / 8.77)	-0.03 (14.47 / 14.79)	0.11 (9.34 / 8.61)
 	Percentile (%)	82.886	62.603	37.995	31.46	48.499	37.92
GMP reductase activity	FC (WS / NS)	-0.44 (-4.17 / -5.3)	-	-0.2 (3.7 / 4.39)	-	0.02 (8.73 / 8.61)	0.66 (3.58 / 1.91)
 	Percentile (%)	82.959	-	80.385	-	37.992	10.201
aminopeptidase activity	FC (WS / NS)	-0.45 (-4.83 / -6.23)	0 (7.07 / 7.08)	0.06 (12.62 / 12.04)	0.07 (9.18 / 8.72)	0.02 (15.38 / 15.13)	0.1 (9.29 / 8.62)
 	Percentile (%)	83.031	52.166	36.072	38.317	37.477	38.672
transferase activity, transferring nitrogenous groups	FC (WS / NS)	-0.45 (-3.24 / -4.07)	-0.19 (8.41 / 9.75)	0.01 (14.4 / 14.32)	0.06 (8.92 / 8.53)	-0.04 (15.17 / 15.6)	0.12 (10.12 / 9.25)
 	Percentile (%)	83.249	60.599	50.401	40.127	49.625	36.667
intramolecular transferase activity, phosphotransferases	FC (WS / NS)	-0.46 (-5.13 / -6.69)	0.04 (10.33 / 10.01)	0.02 (12.56 / 12.33)	0.05 (9.72 / 9.38)	0.11 (15.71 / 14.49)	0.04 (10.02 / 9.7)
 	Percentile (%)	83.321	41.528	43.854	42.54	22.795	48.972
endopeptidase activity	FC (WS / NS)	-0.47 (-5.27 / -6.91)	0.11 (8.47 / 7.79)	0.08 (14.26 / 13.47)	0.11 (9.97 / 9.16)	-0.09 (14.87 / 15.85)	0.08 (9.71 / 9.11)
 	Percentile (%)	83.611	34.105	34.012	31.111	57.833	39.975
acetyl-CoA carboxylase activity	FC (WS / NS)	-0.48 (-3.35 / -4.27)	-0.33 (4.91 / 6.41)	-0.09 (10.73 / 11.5)	-	0.02 (12.32 / 12.17)	-0.05 (7.42 / 7.71)
 	Percentile (%)	83.829	64.777	76.127	-	38.368	64.16
precorrin-8X methylmutase activity	FC (WS / NS)	-0.48 (-6.15 / -8.18)	0.2 (5.29 / 4.49)	0.18 (5.32 / 4.58)	-	0.45 (8.54 / 6)	0.21 (5.43 / 4.55)
 	Percentile (%)	84.119	23.715	25.704	-	11.492	24.261
inorganic diphosphatase activity	FC (WS / NS)	-0.49 (-4.52 / -5.94)	0.38 (5.39 / 3.91)	0.08 (8.23 / 7.73)	-	0.12 (13 / 11.88)	0.07 (6.87 / 6.52)
 	Percentile (%)	84.336	18.31	33.806	-	21.811	44.536
3-dehydro-L-gulonate 2-dehydrogenase activity	FC (WS / NS)	-0.49 (-5.63 / -7.5)	-	0.25 (8.32 / 6.85)	-	-	-
 	Percentile (%)	84.409	-	21.904	-	-	-
transferase activity, transferring alkyl or aryl (other than methyl) groups	FC (WS / NS)	-0.5 (-3.01 / -3.84)	0.01 (7.3 / 7.22)	0 (13.26 / 13.21)	0 (8.59 / 8.61)	-0.11 (13.24 / 14.4)	-0.02 (9.19 / 9.3)
 	Percentile (%)	84.554	44.914	51.316	52.381	60.6	61.028
intramolecular transferase activity, transferring acyl groups	FC (WS / NS)	-0.51 (-5.83 / -7.86)	0.02 (6.41 / 6.33)	-0.02 (7.04 / 7.15)	-	0.45 (8.54 / 6)	0.21 (5.43 / 4.55)
 	Percentile (%)	84.627	44.852	70.039	-	11.445	24.236
FMN binding	FC (WS / NS)	-0.51 (-6.04 / -8.18)	-0.45 (4.25 / 6.15)	-0.13 (12.23 / 13.44)	-0.18 (9.04 / 10.36)	-0.19 (12.75 / 14.66)	-0.32 (7.12 / 9.11)
 	Percentile (%)	84.772	67.278	77.867	67.841	65.713	80.15
oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor	FC (WS / NS)	-0.52 (-4.41 / -5.88)	2 (3 / 0)	-0.01 (10.57 / 10.64)	-0.34 (6.52 / 8.5)	-0.29 (9.71 / 12.12)	-0.35 (5.58 / 7.41)
 	Percentile (%)	84.917	1.662	67.59	75.302	68.996	81.203
fructose-bisphosphate aldolase activity	FC (WS / NS)	-0.52 (-6.16 / -8.41)	-0.68 (3 / 5.43)	0.02 (10.18 / 10.01)	-	-0.01 (15.05 / 15.18)	0.03 (8.67 / 8.48)
 	Percentile (%)	84.989	71.471	44.953	-	45.732	51.604
tagatose-bisphosphate aldolase activity	FC (WS / NS)	-0.52 (-6.16 / -8.41)	-1.32 (0 / 1.49)	0.17 (9.74 / 8.52)	1.32 (5.46 / 1.58)	2.84 (6.15 / 0)	1.16 (5.49 / 1.91)
 	Percentile (%)	85.062	83.771	26.024	5.683	3.096	3.985
ion transmembrane transporter activity	FC (WS / NS)	-0.53 (0.17 / 0.69)	0.03 (12.4 / 12.12)	0.02 (18.66 / 18.44)	0.01 (13.15 / 13.04)	-0.05 (19.11 / 19.79)	0.02 (10.52 / 10.34)
 	Percentile (%)	85.279	42.957	46.693	49.429	53.471	53.509
phosphate acetyltransferase activity	FC (WS / NS)	-0.54 (-3.14 / -4.11)	0.02 (7.56 / 7.42)	0.01 (9.82 / 9.72)	0.05 (7.61 / 7.31)	-0.02 (12.14 / 12.32)	0.03 (7.76 / 7.61)
 	Percentile (%)	85.497	43.702	47.745	41.714	47.373	52.657
pyruvate carboxylase activity	FC (WS / NS)	-0.54 (-5.65 / -7.76)	-	0.19 (9.44 / 8.15)	0.2 (8.12 / 6.93)	0.78 (11.19 / 6.09)	0.5 (8.41 / 5.63)
 	Percentile (%)	85.642	-	25.246	23.683	9.803	13.008
exopeptidase activity	FC (WS / NS)	-0.55 (-3.8 / -5.11)	-0.04 (8.21 / 8.46)	0.01 (14.88 / 14.72)	0.03 (10.58 / 10.36)	0.02 (15.39 / 15.2)	0.05 (10.06 / 9.65)
 	Percentile (%)	85.859	55.055	47.219	45.524	38.133	46.165
nucleobase-containing compound kinase activity	FC (WS / NS)	-0.55 (-4.17 / -5.66)	0.06 (9.76 / 9.29)	0.05 (12.72 / 12.3)	0.09 (8.3 / 7.75)	-0.12 (13.07 / 14.28)	0.07 (8.29 / 7.87)
 	Percentile (%)	86.004	38.096	39.597	34.762	61.069	44.236
L-lactate dehydrogenase activity	FC (WS / NS)	-0.55 (-5.74 / -7.97)	-	0.22 (8.01 / 6.73)	0.38 (7.81 / 5.75)	0.22 (15.08 / 12.77)	0.38 (7.9 / 5.84)
 	Percentile (%)	86.149	-	23.301	15.016	15.572	16.967
alanine-tRNA ligase activity	FC (WS / NS)	-0.57 (-5.69 / -7.93)	0.08 (6.73 / 6.33)	0.04 (6.81 / 6.58)	-	0 (13.94 / 13.93)	0.03 (7.19 / 7.01)
 	Percentile (%)	86.439	36.248	40.261	-	40.854	51.103
malic enzyme activity	FC (WS / NS)	-0.57 (-2.99 / -3.94)	0.13 (7.71 / 6.95)	0.02 (10.3 / 10.14)	-1.48 (1 / 4.58)	0.03 (10.84 / 10.61)	0.05 (7.65 / 7.34)
 	Percentile (%)	86.512	33.328	45.48	88.381	36.538	47.293
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity	FC (WS / NS)	-0.57 (-7.17 / -10.19)	-0.8 (1 / 2.49)	0.41 (4.52 / 3.17)	-	-2.5 (0 / 4.64)	-1.8 (0 / 2.49)
 	Percentile (%)	86.584	72.853	16.8	-	86.82	97.794
tetrahydrodipicolinate N-acetyltransferase activity	FC (WS / NS)	-0.57 (-7.17 / -10.19)	-	0.41 (4.52 / 3.17)	1.1 (4.52 / 1.58)	0.02 (8.15 / 7.99)	1.21 (4.75 / 1.49)
 	Percentile (%)	86.657	-	16.823	6.794	36.82	3.935
methionine adenosyltransferase activity	FC (WS / NS)	-0.58 (-3.42 / -4.61)	-0.05 (2.58 / 2.71)	0.22 (6.52 / 5.46)	0.18 (6.71 / 5.83)	0.01 (13.03 / 12.97)	0.2 (6.87 / 5.86)
 	Percentile (%)	86.73	55.645	23.346	24.952	39.822	24.812
primary active transmembrane transporter activity	FC (WS / NS)	-0.59 (0.11 / 0.67)	0.04 (12.22 / 11.85)	0.02 (18.06 / 17.81)	0 (12.34 / 12.32)	-0.27 (11.2 / 13.66)	0.03 (9.28 / 9.07)
 	Percentile (%)	86.875	41.497	46.052	51.397	68.809	51.579
aldehyde-lyase activity	FC (WS / NS)	-0.6 (-3.49 / -4.77)	-0.52 (4.32 / 6.62)	0.04 (13.12 / 12.71)	0.07 (9.56 / 9.08)	0 (15.25 / 15.28)	0.07 (9.65 / 9.18)
 	Percentile (%)	86.947	68.613	40.169	37.968	43.715	44.637
ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	FC (WS / NS)	-0.61 (-3.87 / -5.38)	-0.61 (3.32 / 5.58)	0.06 (8.58 / 8.17)	0.18 (7.48 / 6.49)	0.19 (14.17 / 12.32)	0.09 (7.1 / 6.62)
 	Percentile (%)	88.035	70.508	35.66	24.825	16.604	39.574
ribonucleoside-diphosphate reductase activity	FC (WS / NS)	-0.61 (-3.87 / -5.38)	-0.61 (3.32 / 5.58)	0.06 (8.58 / 8.17)	0.12 (8.2 / 7.45)	0.19 (14.17 / 12.32)	0.09 (7.1 / 6.62)
 	Percentile (%)	88.18	70.523	35.706	29.206	16.651	39.599
oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor	FC (WS / NS)	-0.62 (-3.34 / -4.59)	-	-0.17 (4.7 / 5.39)	0.77 (5.13 / 2.58)	0.02 (8.73 / 8.61)	0.57 (4.52 / 2.71)
 	Percentile (%)	88.252	-	79.286	9.143	38.039	11.554
hydrolase activity, acting on ester bonds	FC (WS / NS)	-0.63 (-1.96 / -2.49)	-0.01 (11.54 / 11.67)	-0.01 (17.54 / 17.73)	0.01 (11.41 / 11.28)	-0.03 (16.46 / 16.8)	0 (10.71 / 10.67)
 	Percentile (%)	88.47	53.098	69.078	48.603	48.358	57.168
CoA carboxylase activity	FC (WS / NS)	-0.63 (-2.62 / -3.5)	0.05 (8.92 / 8.6)	-0.09 (11.86 / 12.67)	0.13 (6.54 / 5.88)	0.02 (12.32 / 12.18)	0 (7.94 / 7.96)
 	Percentile (%)	88.542	40.379	75.921	28.508	38.321	59.148
N-succinyltransferase activity	FC (WS / NS)	-0.66 (-6.17 / -9.19)	-0.58 (2 / 3.49)	0.13 (6.11 / 5.49)	-	-2.5 (0 / 4.64)	-1.8 (0 / 2.49)
 	Percentile (%)	89.268	70.057	29	-	86.914	97.895
oxaloacetate decarboxylase activity	FC (WS / NS)	-0.67 (-2.82 / -3.89)	0.14 (0 / -0.09)	0.07 (9.92 / 9.43)	0.07 (7.94 / 7.54)	-0.42 (7.63 / 10.55)	-0.12 (7.08 / 7.76)
 	Percentile (%)	89.558	27.318	35.134	38.54	75.797	69.574
lactate dehydrogenase activity	FC (WS / NS)	-0.67 (-4.74 / -6.97)	-2.75 (0 / 5.71)	0 (10.76 / 10.78)	0.28 (9.26 / 7.46)	0.22 (15.08 / 12.77)	0.37 (7.91 / 5.91)
 	Percentile (%)	89.63	97.127	65.553	18.921	15.619	17.444
ketol-acid reductoisomerase activity	FC (WS / NS)	-0.68 (-4.57 / -6.69)	0.5 (7.64 / 5.11)	0.46 (7.61 / 5.25)	0.44 (7.64 / 5.39)	0.22 (12.86 / 10.92)	0.42 (7.77 / 5.55)
 	Percentile (%)	89.775	15.825	16.182	13.492	15.666	15.514
IMP dehydrogenase activity	FC (WS / NS)	-0.69 (-3.84 / -5.57)	0.26 (6.58 / 5.33)	-0.2 (3.7 / 4.39)	-	0.04 (15.08 / 14.67)	-0.03 (7.18 / 7.33)
 	Percentile (%)	89.92	21.696	80.407	-	34.006	62.281
glutamate-ammonia ligase activity	FC (WS / NS)	-0.72 (-5.15 / -7.84)	-2.2 (0 / 3.61)	0.45 (8.32 / 5.81)	0.5 (7.27 / 4.86)	0.32 (13.3 / 10.49)	0.49 (7.55 / 5.08)
 	Percentile (%)	90.138	92.235	16.228	12.317	13.274	13.083
N-acetyltransferase activity	FC (WS / NS)	-0.72 (-5.22 / -7.97)	0.01 (7.02 / 6.95)	0.03 (9.81 / 9.57)	1.1 (4.52 / 1.58)	0.13 (12.99 / 11.79)	0.05 (7.53 / 7.22)
 	Percentile (%)	90.21	45.085	41.909	6.73	20.779	46.316
succinyltransferase activity	FC (WS / NS)	-0.73 (-5.59 / -8.61)	-0.64 (3.17 / 5.49)	0.02 (8.6 / 8.5)	-1.02 (2.81 / 6.7)	-3.24 (0 / 8.45)	-0.62 (2 / 3.61)
 	Percentile (%)	90.355	70.927	47.173	84.889	94.325	87.368
ammonia ligase activity	FC (WS / NS)	-0.74 (-5 / -7.69)	0.08 (5.52 / 5.15)	0.3 (9.81 / 7.78)	0.37 (8.39 / 6.29)	0.26 (13.33 / 10.95)	0.36 (7.75 / 5.81)
 	Percentile (%)	90.863	35.502	20.05	15.492	13.79	17.469
metal cluster binding	FC (WS / NS)	-0.75 (-1.78 / -2.32)	0.1 (9.26 / 8.57)	-0.03 (17.89 / 18.35)	-0.07 (12.26 / 12.92)	-0.12 (18.14 / 19.73)	-0.1 (10.65 / 11.52)
 	Percentile (%)	91.08	34.415	72.374	58.159	60.835	68.596
acid-ammonia (or amide) ligase activity	FC (WS / NS)	-0.76 (-4.86 / -7.55)	0.23 (6.89 / 5.74)	0.23 (11.12 / 9.36)	0.31 (9.08 / 7.14)	0.26 (13.34 / 10.97)	0.31 (7.94 / 6.23)
 	Percentile (%)	91.226	22.799	23.095	17.429	13.837	18.997
NADP binding	FC (WS / NS)	-0.78 (-1.84 / -2.45)	0.1 (7.96 / 7.36)	0.1 (15.01 / 13.98)	0.1 (10.15 / 9.44)	0.12 (17.47 / 16.04)	0.13 (10.37 / 9.38)
 	Percentile (%)	91.443	34.431	32.158	33.175	22.326	35.414
succinate dehydrogenase activity	FC (WS / NS)	-0.79 (-3.31 / -5)	-0.59 (3.7 / 6.06)	-0.01 (10.59 / 10.68)	-0.25 (6.58 / 8)	-0.54 (7.78 / 11.8)	-0.13 (7.52 / 8.29)
 	Percentile (%)	91.661	70.182	67.796	70.635	77.392	69.975
