"eggNOG"	"MEGAN"	"metaGOmics"	"MPA"	"Unipept"	"Prophane"
"85"	"aminopeptidase c"	"pts system"	"oligosaccharide catabolic process"	"Probable GTPase Rv1496/MT1543"	"RNA catabolic process"	"cytosolic DNA-directed RNA polymerase complex; DNA-directed 5'-3' RNA polymerase activity; nucleoside binding; nucleic acid binding; DNA binding; catalytic activity; binding; intracellular; cell; nucleus; nucleobase-containing compound metabolic process; transcription, DNA-templated; cellular aromatic compound metabolic process; nitrogen compound metabolic process; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; RNA metabolic process; transferase activity; transferase activity, transferring phosphorus-containing groups; nucleotidyltransferase activity; heterocycle biosynthetic process; aromatic compound biosynthetic process; ribonucleoside binding; RNA biosynthetic process; 5'-3' RNA polymerase activity; cellular nitrogen compound metabolic process; cellular macromolecule biosynthetic process; nucleobase-containing compound biosynthetic process; small molecule binding; macromolecule metabolic process; organelle; membrane-bounded organelle; intracellular organelle; intracellular membrane-bounded organelle; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular nitrogen compound biosynthetic process; intracellular part; cell part; heterocycle metabolic process; organic substance metabolic process; nucleic acid metabolic process; organic cyclic compound binding; organic cyclic compound metabolic process; organic cyclic compound biosynthetic process; heterocyclic compound binding; organic substance biosynthetic process"
"86"	"Phosphohexokinase"	"DNA-binding protein that represses the expression of many genes that are induced as cells make the transition from rapid exponential growth to stationary phase. It is a GTP-binding protein that senses the intracellular GTP concentration as an indicator of nutritional limitations. At low GTP concentration it no longer binds GTP and stop to act as a transcriptional repressor (By similarity)"	"disaccharide catabolic process"	"Methylmalonyl Co-A mutase-associated GTPase MeaB"	"ribonucleoside-diphosphate reductase complex"	"nucleotide binding; catalytic activity; glycerol-3-phosphate dehydrogenase [NAD+] activity; binding; intracellular; cell; cytoplasm; carbohydrate metabolic process; glycerol-3-phosphate metabolic process; lipid metabolic process; phospholipid metabolic process; glycerophospholipid metabolic process; phosphorus metabolic process; phosphate-containing compound metabolic process; metabolic process; lipid biosynthetic process; phospholipid biosynthetic process; catabolic process; biosynthetic process; glycerol-3-phosphate dehydrogenase complex; cellular process; oxidoreductase activity; oxidoreductase activity, acting on CH-OH group of donors; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; organophosphate metabolic process; protein-containing complex; small molecule binding; NA; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular lipid metabolic process; intracellular part; cytoplasmic part; cell part; NA; glycerol-3-phosphate biosynthetic process; glycerol-3-phosphate catabolic process; organophosphate catabolic process; glycerolipid metabolic process; glycerol-3-phosphate dehydrogenase [NAD(P)+] activity; cofactor binding; coenzyme binding; NAD binding; alditol phosphate metabolic process; oxidation-reduction process; organic substance metabolic process; organophosphate biosynthetic process; organic cyclic compound binding; carbohydrate derivative metabolic process; carbohydrate derivative catabolic process; carbohydrate derivative biosynthetic process; nucleoside phosphate binding; heterocyclic compound binding; organic substance catabolic process; organic substance biosynthetic process"
"87"	""	"Lipoate-protein, ligase"	"lactose catabolic process via tagatose-6-phosphate"	"DNA-directed RNA polymerase subunit beta'"	"chorismate biosynthetic process"	"glucose-6-phosphate isomerase activity; catalytic activity; intracellular; cell; cytoplasm; carbohydrate metabolic process; monosaccharide metabolic process; glucose metabolic process; glucose catabolic process; generation of precursor metabolites and energy; gluconeogenesis; glycolytic process; metabolic process; catabolic process; biosynthetic process; cellular process; carbohydrate biosynthetic process; carbohydrate catabolic process; isomerase activity; intramolecular oxidoreductase activity; intramolecular oxidoreductase activity, interconverting aldoses and ketoses; hexose metabolic process; hexose biosynthetic process; hexose catabolic process; cellular metabolic process; primary metabolic process; intracellular part; cell part; NA; NA; monosaccharide biosynthetic process; monosaccharide catabolic process; organic substance metabolic process; organic substance catabolic process; organic substance biosynthetic process"
"88"	"ATP-dependent Clp protease ATP-binding subunit"	"Diaminopimelate dehydrogenase"	"lactose catabolic process"	"LAO/AO transport system ATPase"	"aromatic amino acid family biosynthetic process"	"membrane; outer membrane"
"89"	"Domain of unknown function (DUF2088)"	"mannose-6-phosphate isomerase"	"biotin binding"	"ATPase family associated with various cellular activities (AAA)"	"L-aspartate:2-oxoglutarate aminotransferase activity"	"arginine-tRNA ligase activity; nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; aminoacyl-tRNA ligase activity; binding; ATP binding; intracellular; cell; cytoplasm; organic acid metabolic process; nucleobase-containing compound metabolic process; tRNA metabolic process; translation; tRNA aminoacylation for protein translation; arginyl-tRNA aminoacylation; cellular amino acid metabolic process; cellular aromatic compound metabolic process; nitrogen compound metabolic process; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; RNA metabolic process; ligase activity; ligase activity, forming carbon-oxygen bonds; NA; purine nucleotide binding; protein metabolic process; carboxylic acid metabolic process; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; cellular nitrogen compound metabolic process; cellular macromolecule biosynthetic process; ncRNA metabolic process; purine ribonucleoside triphosphate binding; small molecule binding; amino acid activation; tRNA aminoacylation; ion binding; anion binding; macromolecule metabolic process; oxoacid metabolic process; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; small molecule metabolic process; intracellular part; cell part; NA; heterocycle metabolic process; organic substance metabolic process; nucleic acid metabolic process; organic cyclic compound binding; nucleoside phosphate binding; organic cyclic compound metabolic process; heterocyclic compound binding; organonitrogen compound metabolic process; organic substance biosynthetic process"
"90"	"CHAP domain protein"	"Nudix hydrolase"	"galactitol transmembrane transporter activity"	"LAO/AO transport system ATPase"	"glutamine biosynthetic process"	"nucleic acid binding; RNA binding; binding; organic cyclic compound binding; heterocyclic compound binding"
"91"	"dihydrolipoyl dehydrogenase"	"The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis (By similarity)"	"allophanate hydrolase activity"	"Ribosome hibernation promoting factor"	"carboxylic acid metabolic process"	"structural constituent of ribosome; nucleic acid binding; RNA binding; structural molecule activity; binding; intracellular; cell; cytoplasm; ribosome; translation; 5S rRNA binding; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; protein metabolic process; rRNA binding; NA; protein-containing complex; cellular macromolecule biosynthetic process; macromolecule metabolic process; organelle; non-membrane-bounded organelle; intracellular organelle; intracellular non-membrane-bounded organelle; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; intracellular part; cytoplasmic part; cell part; organic substance metabolic process; organic cyclic compound binding; heterocyclic compound binding; organic substance biosynthetic process"
"92"	"Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity)"	"3-deoxy-7-phosphoheptulonate synthase activity"	"bacterial-type RNA polymerase regulatory region DNA binding"	"Ribosomal subunit interface protein (Fragment)"	"carbon-nitrogen ligase activity, with glutamine as amido-N-donor"	"catalytic activity; acetyl-CoA hydrolase activity; acetyl-CoA metabolic process; acyl-CoA metabolic process; coenzyme metabolic process; phosphorus metabolic process; metabolic process; cellular process; CoA hydrolase activity; transferase activity; hydrolase activity; hydrolase activity, acting on ester bonds; thiolester hydrolase activity; thioester metabolic process; cellular metabolic process; cofactor metabolic process; organic substance metabolic process"
"93"	"Alpha-keto-beta-hydroxylacyl reductoisomerase"	"Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Also processes some mRNAs, and tRNAs when they are encoded in the rRNA operon (By similarity)"	"1,2-diacylglycerol 3-glucosyltransferase activity"	"30S ribosomal protein S5"	"rRNA (cytosine-N4-)-methyltransferase activity"	"organellar large ribosomal subunit; structural constituent of ribosome; structural molecule activity; intracellular; cell; cytoplasm; ribosome; translation; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; protein metabolic process; NA; protein-containing complex; cellular macromolecule biosynthetic process; macromolecule metabolic process; organelle; non-membrane-bounded organelle; intracellular organelle; intracellular non-membrane-bounded organelle; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; intracellular part; cytoplasmic part; cell part; organic substance metabolic process; organic substance biosynthetic process"
"94"	"Cysteine synthase"	"epimerase dehydratase"	"core promoter proximal region sequence-specific DNA binding"	"Elongation factor Tu"	"3-isopropylmalate dehydratase activity"	"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity"
"95"	"s-layer protein"	"enzyme active site formation"	"bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding"	"Pyruvate-flavodoxin oxidoreductase"	"phospholipid-translocating ATPase activity"	"nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; binding; ATP binding; intracellular; cell; cytoplasm; proteolysis; response to stress; metabolic process; peptidase activity; response to temperature stimulus; response to heat; response to abiotic stimulus; gene expression; pyrophosphatase activity; protein processing; hydrolase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; purine nucleotide binding; nucleoside-triphosphatase activity; protein metabolic process; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; small molecule binding; ion binding; anion binding; macromolecule metabolic process; primary metabolic process; intracellular part; cell part; response to stimulus; protein maturation; organic substance metabolic process; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding"
"96"	"serine protease"	"Enables the recognition and targeting of unfolded and aggregated proteins to the ClpC protease or to other proteins involved in proteolysis"	"bacterial-type RNA polymerase regulatory region sequence-specific DNA binding"	"Putative ATP-dependent Clp protease ATP-binding subunit"	"dipeptidyl-peptidase activity"	"cytoplasm; catalytic activity; intracellular; cell; carbohydrate metabolic process; metabolic process; formate C-acetyltransferase activity; acetyltransferase activity; C-acyltransferase activity; C-acetyltransferase activity; transferase activity; transferase activity, transferring acyl groups; transferase activity, transferring acyl groups other than amino-acyl groups; lyase activity; primary metabolic process; intracellular part; cell part; organic substance metabolic process"
"97"	"DAK2 domain fusion protein YloV"	"phosphoglucomutase"	"prephenate dehydratase activity"	"Putative ATP-dependent Clp protease ATP-binding subunit"	"diaminopimelate biosynthetic process"	"plastid small ribosomal subunit; RNA binding; nucleic acid binding; mRNA binding; structural constituent of ribosome; structural molecule activity; binding; intracellular; cell; cytoplasm; ribosome; translation; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; small ribosomal subunit; protein metabolic process; rRNA binding; NA; protein-containing complex; cellular macromolecule biosynthetic process; macromolecule metabolic process; organelle; non-membrane-bounded organelle; intracellular organelle; intracellular non-membrane-bounded organelle; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; ribosomal subunit; organelle part; intracellular part; cytoplasmic part; intracellular organelle part; cell part; organic substance metabolic process; organic cyclic compound binding; heterocyclic compound binding; organic substance biosynthetic process"
"98"	"Alpha-keto-beta-hydroxylacyl reductoisomerase"	"alpha-l-fucosidase"	"core promoter proximal region DNA binding"	"Putative ATP-dependent Clp protease ATP-binding subunit"	"rRNA base methylation"	"sirohydrochlorin cobaltochelatase activity; catalytic activity; cellular aromatic compound metabolic process; vitamin metabolic process; water-soluble vitamin metabolic process; nitrogen compound metabolic process; metabolic process; biosynthetic process; vitamin biosynthetic process; cobalamin metabolic process; cobalamin biosynthetic process; cellular process; lyase activity; heterocycle biosynthetic process; anaerobic cobalamin biosynthetic process; aromatic compound biosynthetic process; tetrapyrrole metabolic process; tetrapyrrole biosynthetic process; cellular nitrogen compound metabolic process; water-soluble vitamin biosynthetic process; cellular metabolic process; cellular biosynthetic process; cellular nitrogen compound biosynthetic process; small molecule metabolic process; small molecule biosynthetic process; NA; NA; heterocycle metabolic process; organic substance metabolic process; organic cyclic compound metabolic process; organic cyclic compound biosynthetic process; organonitrogen compound metabolic process; organonitrogen compound biosynthetic process; organic substance biosynthetic process"
"99"	"30S ribosomal protein S1"	"Alpha-acetolactate decarboxylase"	"urease activity"	"50S ribosomal protein L7/L12"	"S-adenosylhomocysteine catabolic process"	"organellar large ribosomal subunit; structural constituent of ribosome; nucleic acid binding; RNA binding; structural molecule activity; binding; intracellular; cell; cytoplasm; ribosome; translation; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; protein metabolic process; rRNA binding; NA; protein-containing complex; cellular macromolecule biosynthetic process; ion binding; cation binding; macromolecule metabolic process; organelle; non-membrane-bounded organelle; intracellular organelle; intracellular non-membrane-bounded organelle; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; intracellular part; cytoplasmic part; cell part; metal ion binding; organic substance metabolic process; organic cyclic compound binding; heterocyclic compound binding; organic substance biosynthetic process"
"100"	"Glycyl-tRNA synthetase beta subunit"	"Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA) (By similarity)"	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase activity"	"ATP-dependent 6-phosphofructokinase"	"adenosylhomocysteinase activity"	"nucleotide binding; nucleoside binding; purine nucleoside binding; nucleic acid binding; RNA binding; translation elongation factor activity; catalytic activity; GTPase activity; binding; GTP binding; intracellular; cell; cytoplasm; nucleobase-containing compound metabolic process; purine nucleoside catabolic process; purine nucleotide metabolic process; NA; purine nucleotide catabolic process; translation; translational elongation; cellular aromatic compound metabolic process; nucleoside phosphate metabolic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; translation factor activity, RNA binding; metabolic process; catabolic process; biosynthetic process; macromolecule biosynthetic process; nucleoside metabolic process; nucleotide metabolic process; ribonucleoside metabolic process; nucleoside triphosphate metabolic process; nucleoside triphosphate catabolic process; purine nucleoside triphosphate metabolic process; purine nucleoside triphosphate catabolic process; purine ribonucleotide metabolic process; purine ribonucleotide catabolic process; nucleoside catabolic process; nucleotide catabolic process; ribonucleoside triphosphate metabolic process; ribonucleoside triphosphate catabolic process; purine ribonucleoside triphosphate metabolic process; purine ribonucleoside triphosphate catabolic process; ribonucleotide metabolic process; ribonucleotide catabolic process; cellular process; gene expression; pyrophosphatase activity; hydrolase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; purine nucleotide binding; nucleoside-triphosphatase activity; guanyl nucleotide binding; aromatic compound catabolic process; protein metabolic process; organophosphate metabolic process; ribose phosphate metabolic process; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; guanyl ribonucleotide binding; cellular nitrogen compound metabolic process; cellular macromolecule biosynthetic process; nucleobase-containing compound catabolic process; purine ribonucleoside triphosphate binding; small molecule binding; purine nucleoside metabolic process; ribonucleoside catabolic process; ion binding; anion binding; macromolecule metabolic process; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; cellular nitrogen compound catabolic process; small molecule metabolic process; intracellular part; cell part; NA; GTP metabolic process; purine ribonucleoside metabolic process; purine ribonucleoside catabolic process; organophosphate catabolic process; heterocycle metabolic process; heterocycle catabolic process; nucleobase-containing small molecule metabolic process; organic substance metabolic process; purine-containing compound metabolic process; purine-containing compound catabolic process; organic cyclic compound binding; guanosine-containing compound metabolic process; guanosine-containing compound catabolic process; carbohydrate derivative metabolic process; carbohydrate derivative catabolic process; nucleoside phosphate binding; nucleoside phosphate catabolic process; organic cyclic compound metabolic process; organic cyclic compound catabolic process; heterocyclic compound binding; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organic substance catabolic process; organic substance biosynthetic process; glycosyl compound metabolic process; glycosyl compound catabolic process"
